diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
#9 : White Widow,White Widow Automatic,Royal Queen Seeds,100 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Directly In Substrate,"LST,",6.89,10,2.0,2.58,12.03
Space Cookies,Space Cookies,Paradise Seeds,263 watt,"Fox Farm,",Manual,"CoolGrows GT 48x48x80,Soil Grow Medium,",Paper Towel,"Topping,FIMing,Defoliation,LST,",,18,2.0,,
Green Crack (b),Green Crack,Garden Of Green,100 watt,,Manual,"Gorilla Grow Tent GGT 4x4,Soil Grow Medium,",Directly In Substrate,,13.12,16,1.0,,2.22
NL5xHaze Living soil,Northern Lights #5 x Haze Fem,Sensi Seeds,450 watt,"Green House Feeding,BioBizz,",Manual,"Soil Grow Medium,",Directly In Substrate,"ScrOG,LST,Lollipopping,Main-Lining,Super cropping,Topping,Super-cropping,",15.5,18,1.0,11.89,35.27
Seedsman indor 2021,Blue Dream,Seedsman,600 watt,,,,,,,13,6.0,88.19,88.19
Outside from last year,Blue Dream,Seedsman,,,,,,,,12,3.0,,156.97
Gelat.OG,Gelat.OG Auto,Seedsman,250 watt,"True Plant Science (TPS),",Aeroponics,"Fox farm bushdoctor coco loco premium soil Grow Medium,",Glass Of Water,"Leaf tucking,Defoliation,LST,",3.28,12,1.0,6.35,31.39
Fat banana Royal Queen Seeds.,Fat Banana,Royal Queen Seeds,300 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,"LST,Topping,Defoliation,",,12,,,
Casual1,Auto MK-Ultra Kush,T.H.Seeds,250 watt,"Fox Farm,",Manual,"Soil Grow Medium,",Glass Of Water,,4,16,1.0,,0.25
Blackwater,BlackWater,The Cali Connection,480 watt,"Fox Farm,",Manual,"Soil Grow Medium,",Paper Towel,"ScrOG,Topping,Lolipop,Defoliation,",,18,1.0,0.88,5.4
Black Cherry Punch (Pyramid Seeds),Black Cherry Punch,Pyramid Seeds,100 watt,"Advanced Nutrients,General Hydroponics (GHE),Green House Feeding,Hesi,",Manual,"Soil Grow Medium,coco Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",5.38,15,1.0,2.29,5.29
Fastbuds BlackBerry,Blackberry Auto,Fast Buds,440 watt,"Lotus Nutrients,",Manual,"Promix hp Grow Medium,",Directly In Substrate,,,10,1.0,,2.78
FastBuds Purple Lemonade,Purple Lemonade Auto,Fast Buds,440 watt,"Lotus Nutrients,",,"ProMix HP Grow Medium,",Directly In Substrate,,32.28,11,1.0,,3.2
Clone Wars II The King's Inheritance,Kings Juice,Green House Seed Co.,1000 watt,"Atami,PLAGRON.,Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,ScrOG,Defoliation,",10.76,13,3.0,13.76,48.68
Amnesia Lemon Feminised,Amnesia Lemon,Barney'S Farm,120 watt,"General Hydroponics (GHE),Advanced Nutrients,Vitalink,",Manual,"Coco Coir Grow Medium,",Paper Towel,"LST,Defoliation,",6.46,16,3.0,2.93,17.28
Ice cream cake Fast version,Ice Cream Cake Fast Flowering,Humboldt Seed Organization,,,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",,"LST,Topping,Defoliation,",10.76,6,1.0,,0.95
Organic Biscotti,Biscotti,Cookies Seed Bank,,,Manual,"Soil Grow Medium,",Paper Towel,"Topping,",,11,1.0,0.32,
FB 2201 by kush_queen,Gorilla Punch Auto,Fast Buds,200 watt,"Monkey Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,,12.92,11,1.0,,5.57
Fastbuds tester 2209 by kush-queen,FBT2209,Fast Buds,450 watt,"Monkey Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,,12.92,11,1.0,,4.9
FB tester 2207 by kush_queen,FBT2207,Fast Buds,450 watt,"Monkey Nutrients,Vitalink,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,,12.92,11,1.0,,6.07
FB tester 2212,FBT2212,Fast Buds,450 watt,"Monkey Nutrients,Vitalink,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"Defoliation,",12.92,11,1.0,,5.68
FB2202 by Kush_queen,Banana Purple Punch Auto,Fast Buds,200 watt,,Manual,"Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,,12.92,10,1.0,,5.75
FB tester 2211 by kush_queen,Tropicana Cookies Auto,Fast Buds,450 watt,"Monkey Nutrients,",,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,,12.92,11,1.0,,6.07
FB tester 2210 by kush_queen,FBT2210,Fast Buds,150 watt,"Monkey Nutrients,Vitalink,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,,12.92,10,1.0,,6.98
Girls Just Want To Have Cookies,Girl Scout Cookies,Zamnesia Seeds,1000 watt,"BioBizz,Atami,PLAGRON.,Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,LST,HST,Defoliation,",Custom,15,,,
GSC. GROW #3,Girl Scout Cookies Extreme Autoflower,ILGM,,,Manual,,,"LST,Topping,",26.25,13,1.0,,
m0use's G13 Labs - Blue Cindy,Blue Cindy,G13 Labs,150 watt,,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Soil Grow Medium,Other Grow Medium,",Glass Of Water,"Defoliation,Topping,LST,HST,",8.07,20,1.0,4.57,17.64
Solo cup grow,Agent Tangie,Custom Breeder & Strain,100 watt,,Manual,"CoolGrows GT 24x24x55,Soil ocean forest/happy from 50/50 Grow Medium,",Paper Towel,"Defoliation,Topping,LST,",,11,1.0,,0.46
m0use's G13 Labs - Maltezerz,Maltezerz,G13 Labs,150 watt,,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Soil Grow Medium,Other Grow Medium,",Glass Of Water,"Defoliation,Topping,LST,HST,",8.07,20,1.0,5.35,17.64
Vanilla Frosting Auto,Vanilla Frosting Auto,Tastebudz Genetics,150 watt,"General Hydroponics (GHE),Fox Farm,Plant Success (Plant Revolution),Superthrive,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Defoliation,",26.25,11,1.0,1.9,8.85
Strawberry banana yum yum Auto,Strawberry Banana Auto,Fast Buds,350 watt,"Gaia Green,",Manual,"AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),Coco Coir Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,Worm castings Grow Medium,",,"Defoliation,LST,FIMing,",3,8,1.0,1.25,1.92
