diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
Duct Tape #1,Duct Tape,Custom Breeder & Strain,"LED / 150W (×2) Mars TS 1000,","Advanced Nutrients,",Manual,"Soil Grow Medium,",,"Topping,",,9,,,
3M ✠ S₭UИ Ձ.Օ ► ƒϑ,Skunk 2.0 Fast Version,Ganja Farmer Seeds,100 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Coco Coir Grow Medium,Minerals Grow Medium,Humus Grow Medium,Bocashi Grow Medium,",Directly In Substrate,"Irrigation explained,Solid amendments activated,Foliar H2O2,I'm Guru Lol!,Forced darkness,FIMing,Topping,LST,Dry amendments,",2.58,13,1.0,1.94,6.98
Blue gelato 41 small scroggin,Blue Gelato 41,Barney'S Farm,100 watt,"Coast of Maine,",Manual,"Soil Grow Medium,",Paper Towel,"Topping,LST,ScrOG,",2,13,2.0,4.7,4.0
Auto Lemon Kix - Dutch Passion,Auto Lemon Kix (Auto Lemon Zkittle),Dutch Passion,700 watt,,Hydroponics,"Mineral Wool Grow Medium,",,,10.76,10,1.0,14.96,
Bruce Banner Auto,Bruce Banner Auto,Custom Breeder & Strain,200 watt,"Fox Farm,",Manual,"BloomGrow GT 32''X32''X63'',Soil Grow Medium,",Glass Of Water,"Leaf-tucking,LST,Leaf Tucking,Defoliation,",,16,,,
AUTOFLOWER 3X3,Trippy Gorilla Auto,Big Head Seeds,300 watt,"Advanced Nutrients,Botanicare,",Hydroponics,"Water Grow Medium,",Paper Towel,"LST,HST,Defoliation,",13.12,12,2.0,,13.0
Sweet Gelato auto,Sweet Gelato Auto®,Sweet Seeds,100 watt,,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,ScrOG,",,12,1.0,1.83,
Red Strawberry Banana auto,Red Strawberry Banana Auto,Sweet Seeds,100 watt,,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,ScrOG,",,12,1.0,1.34,
White Widow x2 3x3,White Widow Regular,Seedsman,250 watt,"True Plant Science (TPS),",Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"Topping,LST,Defoliation,ScrOG,",29.53,13,2.0,,
GHSC - Chemical Bride x2,Chemical Bride,Green House Seed Co.,60 watt,"Green House Feeding,",Manual,"Coco Coir Grow Medium,Soil Grow Medium,Champi Compost Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",5.38,14,2.0,,10.58
