diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
AK 420,AK420 Autoflower,Seedstockers,480 watt,"General Hydroponics (GHE),",Manual,,,,3.23,12,1.0,7.76,25.4
NORTHERN LIGHTS AUTO,Northern Lights,Sensi Seeds,,,Manual,"Coco Coir Grow Medium,",,,32.29,10,1.0,,5.0
Big Amnesia Haze Autoflower @Hyseeds,Big Amnesia Haze Autoflower,Hy-Seeds,480 watt,,Manual,"Soil Grow Medium,",Peat Pellet,,,4,,,
Sweet ZZ_18,Sweet ZZ Automatic,Royal Queen Seeds,,,Hydroponics,,,"LST,Defoliation,",,10,1.0,0.74,
Fastbuds Gorilla Cookies Auto First grow,Gorilla Cookies Auto,Fast Buds,480 watt,"Goliath Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Tucking,Defoliation,",21.53,12,1.0,7.97,7.97
Sample Pakistan,Pakistan Valley Early Harvest,World Of Seeds,,,Manual,,Paper Towel,"FIMing,Defoliation,",,21,,,
Sample Afghani,Afghan Kush Early Harvest,World Of Seeds,,,Manual,,Paper Towel,"Topping,FIMing,Defoliation,",,21,,,
Blueberry and mango smile,Mango Smile,Mephisto Genetics,480 watt,"Fish Head Farms,",Manual,"Soil Grow Medium,Perlite Grow Medium,compost Grow Medium,",Paper Towel,,19.69,11,1.0,,
Sugar bomb dutch passion comp,Sugar Bomb Punch,Dutch Passion,475 watt,,,"Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,,,0,,,
Candy Cane Auto,Candy Cane Auto,Crop King Seeds,460 watt,"Fox Farm,",Manual,"Soil Grow Medium,",Directly In Substrate,,,11,,16.8,
Ganja Farmer seeds Grow,Bruce Banner Auto,Ganja Farmer Seeds,,"Coast of Maine,Fox Farm,",Manual,"Soil Grow Medium,",Peat Pellet,,,10,2.0,,
Apple fritter under Sp 3000,Apple Fritter Automatic,Zamnesia Seeds,300 watt,"Advanced Nutrients,",Manual,"Cannaterra Grow Medium,",Directly In Substrate,"LST,Defoliation,",1076.39,9,1.0,1.19,6.0
Dark devil Auto under sp 3000,Dark Devil Auto®,Sweet Seeds,300 watt,"Advanced Nutrients,",,"Cann Grow Medium,",,"Topping,",1076.39,9,1.0,,5.79
Secret garden,Trainwreck Auto,Garden Of Green,,"Dr. Earth,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Other Grow Medium,",Other,,,11,2.0,1.02,
Tester cherry alien auto,Cherry Alien Auto,Original Sensible Seeds,"LED / 230W MF2000,","Real Growers,Advanced Nutrients,",Manual,"CoolGrows GT 24x24x55,Soil Grow Medium,",Glass Of Water,"Defoliation,",21.53,14,1.0,,
Fastbuds Afghan Kush auto,Afghan Kush Auto,Fast Buds,250 watt,"BioBizz,Grotek,",Manual,"Soil Grow Medium,",Directly In Substrate,"LST,Defoliation,",Custom,10,,1.34,
FAT PETE COOKIES super sativa seed club,Fat Pete's Cookies Auto,Super Sativa Seed Club,310 watt,"BioBizz,",Manual,"Biobizz light mix Grow Medium,",,,10.76,9,5.0,,
Pink Champagne,conscious genetics pink champagne,Custom Breeder & Strain,310 watt,"Monkey Nutrients,Advanced Nutrients,",Manual,"Biobizz Allmi Grow Medium,",Paper Towel,"Defoliation,",,14,,2.5,
Apollo Black cherry,Apollo Black Cherry Fem,Seedstockers,310 watt,"Monkey Nutrients,Advanced Nutrients,",Manual,"biobizz Allmix Grow Medium,",Paper Towel,"Topping,Defoliation,",,14,,,
2022 Outdoor Northern New Mexico,Afghan Skunk,Expert Seeds,,"Fox Farm,",Manual,"Soil Grow Medium,",,,,23,1.0,2.42,8.1
Fastbuds,Gorilla Cookies Auto,Fast Buds,500 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",,,10.76,8,,2.82,52.91
Auto Cinderella Jack,Auto Cinderella Jack,Dutch Passion,200 watt,"BIOCANNA,BioBizz,Canna,",Manual,"Soil Grow Medium,",Peat Pellet,"LST,Defoliation,",1.94,11,1.0,3.25,
ChemCookies - First Grow,Chem Cookies aka GMO Cookies,Divine Genetics,200 watt,"Current Culture H2O,Mammoth Microbes,",Hydroponics,"AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),Expanded Clay Grow Medium,",,"Topping,LST,Defoliation,ScrOG,",3.23,13,1.0,5.01,14.43
Lengend OG Punch,Legendary OG Punch,Royal Queen Seeds,300 watt,"RQS Organic Nutrients,Advanced Nutrients,PLAGRON.,",Manual,"Soil Grow Medium,",Paper Towel,"Main-Lining,",,12,1.0,,1.8
RQS Royal Gorilla Auto Balcony Outdoor,Royal Gorilla Automatic,Royal Queen Seeds,,"BioBizz,",Manual,,,"Topping,LST,Defoliation,",,10,1.0,,
Royal Skywalker,Royal Skywalker,Royal Queen Seeds,45 watt,,Manual,"Soil Grow Medium,",,"LST,Topping,Defoliation,",Custom,17,2.0,,
Legendary strain,Cheese,Zamnesia Seeds,400 watt,"PLAGRON.,",,,,"12-12 From Seed,",10.76,8,1.0,,1.59
Green Gelato Automatic,Green Gelato Automatic,Royal Queen Seeds,500 watt,"FloraFlex,Aptus,",Manual,"Soil Grow Medium,",,"LST,Defoliation,",,12,1.0,,250.0
Indoor purple banana - Marshydro TS1000,Banana Purple Punch Auto,Fast Buds,150 watt,"Advanced Nutrients,Guanokalong,",Manual,"Soil Grow Medium,",Glass Of Water,"12-12 From Seed,",,10,2.0,,
Coca cola cherry - Marshydro TS1000,Cherry Cola Auto,Fast Buds,150 watt,"Advanced Nutrients,Guanokalong,",Manual,"Soil Grow Medium,",,"12-12 From Seed,",,10,6.0,,
Gorilla Zkittles - Marshydro TS1000,Gorilla Zkittlez Auto,Fast Buds,150 watt,"Advanced Nutrients,Guanokalong,",Manual,"Soil Grow Medium,",Glass Of Water,"12-12 From Seed,",,10,,,
Strawberry pie - Marshydro TS1000,Strawberry Pie Auto,Fast Buds,150 watt,"Advanced Nutrients,Guanokalong,",Manual,"Soil Grow Medium,",Glass Of Water,"12-12 From Seed,",10.76,10,2.0,,
Strawberry Gorilla - Marshydro TS1000,Strawberry Gorilla Auto,Fast Buds,150 watt,"Advanced Nutrients,Guanokalong,",Manual,"Soil Grow Medium,",Glass Of Water,"12-12 From Seed,",10.76,10,9.0,,
BlueBerry OG Barney' Farm First Time,Blueberry OG,Barney'S Farm,600 watt,"Canna,Greenleaf Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,"LST,ScrOG,",23.68,13,5.0,14.74,28.92
Banana purple Outdoor cup,Banana Purple Punch Auto,Fast Buds,,"Green House Feeding,Grotek,Guanokalong,",Manual,"Soil Grow Medium,",Glass Of Water,,,9,1.0,,
Shogun,Shogun,Royal Queen Seeds,"LED / 300W Custom,LED / 150W Custom,","General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,",Glass Of Water,"LST,ScrOG,Defoliation,",6.46,15,1.0,,2.47
Grow#2 Dosi Do's OG Original Sensible,Do-Si-Dos OG,Original Sensible Seeds,480 watt,"Green Planet Nutrients,Nutrifield,Grotek,",Hydroponics,"Expanded Clay Grow Medium,",Peat Pellet,"LST,FIMing,Topping,Main-Lining,Defoliation,",12.92,16,4.0,10.86,
North thunderfuck,North Thunderfuck,Royal Queen Seeds,,"Cannaboom,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,Other Grow Medium,",,"LST,Defoliation,Topping,ScrOG,Cropping,Supercropping,",,15,1.0,,21.16
Bubblegum XL,Bubblegum XL,Royal Queen Seeds,,"Cannaboom,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,Other Grow Medium,",Paper Towel,"Defoliation,Topping,ScrOG,Apical,FIMing,LST,Cropping,Supercropping,",,14,1.0,,17.64
Ethos Punchberry Cookies,Punchberry Cookies Rbx,ETHOS Genetics,150 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,,,8,1.0,,7.5
Russian Auto tiny space LST,Russian Auto,Fast Buds,185 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,Coco Coir Grow Medium,",,,Custom,10,1.0,,2.82
LSD-25 420 FastBuds,LSD-25 Auto,Fast Buds,150 watt,"Fox Farm,",Manual,"AC Infinity Cloudlab 422 Advance Grow Tent 2x2 (24"" X 24"" X 48""),Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,",13.12,10,1.0,1.55,6.0
Recyoself313 Recberry Unit Farm UFS3000,Recyoself313 - Recberry,Custom Breeder & Strain,200 watt,"Dr. Earth,",Drip,"Coco Coir Grow Medium,Perlite Grow Medium,Soil Grow Medium,",,"LST,HST,Topping,Defoliation,SoG,",,6,,,
Mango Smile Auto,Mango Smile,Mephisto Genetics,300 watt,"Botanicare,Dr. Earth,Fox Farm,Aurora Innovations (Roots Organics),",Manual,"Soil Grow Medium,Perlite Grow Medium,Worm C Grow Medium,",Glass Of Water,"Topping,Defoliation,",8,10,1.0,2.6,14.82
FastBuds Cherry Cola,Cherry Cola Auto,Fast Buds,660 watt,"Fish Head Farms,Dutchpro USA,GreenGro,Earth Juice,Down To Earth,",Manual,"Gorilla Grow Tent GGT 4x8,Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,Defoliation,LST,",16,12,2.0,9.38,24.55
GANJA FARMER SEEDS,Gelato Cake,Ganja Farmer Seeds,450 watt,"Intense Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"Topping,",,11,,,
Outdoor project ‘22,Furious Candy,Eva Seeds,,,Manual,,Glass Of Water,"Defoliation,Topping,",,24,,,
Maine Outdoor 2022 FUSARIUM OXYSPORUM,Grand Daddy Purp,Grand Daddy Purp,,"Fox Farm,General Hydroponics (GHE),",Manual,"Soil Grow Medium,Soil Grow Medium,",,"Topping,Defoliation,LST,FIMing,",,22,1.0,,
Blue Dream Photo,Blue dream,Custom Breeder & Strain,,"Remo Nutrients,Microbe Life Hydro,Gaia Green,House & Garden,BuildASoil,",Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,Biochar Grow Medium,",,"Topping,Defoliation,LST,",,28,1.0,,17.74
Kritkal-k DWC,Kritikal-K,Kannabia Seed Company,300 watt,"General Hydroponics (GHE),",Hydroponics,"Perlite Grow Medium,",Paper Towel,"Topping,Defoliation,LST,",8.61,13,2.0,,
Space Runtz Photoperiod first time growe,Space runtz,Custom Breeder & Strain,230 watt,"Miracle-Gro,Fox Farm,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Defoliation,Topping,LST,",Custom,23,2.0,,7.7
AK 2.0 XL Auto - Ganja Farmer Seeds,AK 2.0 XL Auto,Ganja Farmer Seeds,100 watt,,Manual,"Other Grow Medium,",Directly In Substrate,"Potted up,",1.22,7,1.0,,0.78
DOCTORS CHOICE AND ALL MARS HYDRO GEAR,Devotchka,Doctor'S Choice,1440 watt,,Manual,"PROMIX HP Grow Medium,",,"LST,Defoliation,",26.25,19,1.0,,2.5
"SEEDSMAN,MARS8X8,FC-E6500,FC4800,TSW2000",Gelat.OG Auto,Seedsman,1440 watt,,Manual,"PROMIX HP Grow Medium,",Paper Towel,"Defoliation,LST,",26.25,18,1.0,,2.0
White Widow - CANUK SEEDS,White Widow,Canuk Seeds,,"Gaia Green,",Manual,"Soil Grow Medium,",,"Topping,Defoliation,",,10,1.0,,4.0
Amnesia skittles. Fastbuds.,Amnesia Zkittlez Auto,Fast Buds,450 watt,"Advanced Nutrients,Superthrive,Plant Magic,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Defoliation,LST,HST,",13.12,11,1.0,,2.47
Super Skunk DWC FIM Lst lollipop,Super Skunk,Sensi Seeds,150 watt,,Hydroponics,"Mineral Wool Grow Medium,",,,6.46,11,1.0,5.96,28.22
Ganja Farmer vs Mars-Hydro,Skunk 2.0 Fast Version,Ganja Farmer Seeds,450 watt,"Metrop,",Manual,"Soil Grow Medium,",Directly In Substrate,,3.88,17,3.0,3.42,
Gorilla cookies 2nd run,Gorilla Cookies Auto,Fast Buds,,"BioBizz,",Manual,,Glass Of Water,,10.76,9,2.0,,
Auto Cheese,Auto Cheese,Gea Seeds,17 watt,"Top Crop,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,Vermiculite Grow Medium,",Peat Pellet,"LST,Defoliation,",645.83,9,1.0,,4.02
Cookies & Cream,Cookies and Cream Fem,Seedstockers,245 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Topping,LST,Defoliation,",,14,1.0,2.54,
Northern Light,Northern Lights,Seedstockers,245 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",,14,1.0,2.96,
Grow#2 Gorilla Glue Herbie's free seeds,Gorilla Glue Herbie's free seeds,Custom Breeder & Strain,480 watt,"Green Planet Nutrients,Nutrifield,Grotek,",Hydroponics,"Expanded Clay Grow Medium,",Paper Towel,"Main-Lining,LST,Topping,Defoliation,",12.92,16,1.0,2.47,
805 PP 420 Fastbuds Auto run,Purple Punch Auto,Fast Buds,790 watt,"BuildASoil,Xtreme Gardening,",Drip,"Gorilla Grow Tent GGT Lite 4x8x6’7,Soil Grow Medium,",Paper Towel,"LST,ScrOG,",13.12,12,1.0,,1.0
Spliff Cheese DWC baby!!! Athena nutes,Spliff Cheese,Spliff Seeds,480 watt,"Athena,Blue Planet Nutrients,",Hydroponics,"Clay pebbles Grow Medium,Water Grow Medium,Air bubbles Grow Medium,Rockwool Grow Medium,",Glass Of Water,"Root pruning,LST,Defoliation,",54,12,1.0,,19.4
Ojitos rojos mix power,Santa maria auto - ojitos rojos,Custom Breeder & Strain,100 watt,,Manual,,Paper Towel,,Mammoth Tents,10,1.0,,0.35
"OCS.CA, MARS8X8, FC-E6500,FC4800,TSW2000",Autoflowers breeders club- Cali orange sherbert CBD,Custom Breeder & Strain,1440 watt,,Manual,"PROMIX HP Grow Medium,",Paper Towel,"LST,Defoliation,",26.25,20,1.0,,2.0
"5X5 MARS HYDRO TENT, TS3000, 6"" AUTO FAN",Mango 1:1 CBD,34 Street Seed Co.,450 watt,"Remo Nutrients,",Manual,"PROMIX HP Grow Medium,",Directly In Substrate,"Defoliation,LST,",26.25,20,1.0,,2.5
"SPLIFF SEEDS, MARS HYDRO 5X5, TS3000",Moon Walker Kush,Spliff Seeds,450 watt,"Remo Nutrients,",Manual,"PROMIX HP Grow Medium,",Directly In Substrate,"Defoliation,LST,",26.25,19,1.0,,3.0
Outdoor Grapefruit ScrOG sungrown,Outdoor Grapefruit,Female Seeds,,,Manual,"Soil Grow Medium,Compost Grow Medium,",,"HST,Topping,LST,FIMing,Defoliation,ScrOG,",,26,1.0,,
Royal Jack [legal & organic],Royal Jack Automatic,Royal Queen Seeds,,"PLAGRON.,",Manual,"Other Grow Medium,",Peat Pellet,"Defoliation,LST,",,15,1.0,,2.32
Cake auto,ethos free brize auto,ETHOS Genetics,318 watt,"Advanced Nutrients,Element Nutrients,Terpinator,",Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,Vermiculite Grow Medium,",,"LST,",,14,1.0,,1.76
Cubensis B+ (plus),Cubensis B+,Custom Breeder & Strain,,,Manual,"Perlite Grow Medium,Coco Coir Grow Medium,Vermiculite Grow Medium,",,"Casing TEK,",5.38,3,1.0,,0.07
Cali Deli by Hypno Seeds,Cali Deli,Hypno Seeds,300 watt,"Aptus,Hesi,BioBizz,Dynomyco,Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,LST,Defoliation,",12.92,14,6.0,4.3,10.58
Bananiers,Bananier,Custom Breeder & Strain,,"RQS Organic Nutrients,",Manual,"Soil Grow Medium,",,,,29,,,
Outdoor Lemon Kush ScrOG,Lemon Kush,Female Seeds,,,Manual,"Soil Grow Medium,Compost Grow Medium,",,"FIMing,Defoliation,ScrOG,Topping,LST,",,26,1.0,,
Purple Bud,Purple Bud,White Label,480 watt,"Grotek,",Manual,,,"SoG,",8.61,12,36.0,,13.58
Purity,Seedsman - Wedding Cake,Seedsman,,"StepWell Soil Inc,Fish Head Farms,Gaia Green,",Manual,"Soil Grow Medium,",,"Defoliation,Topping,",,13,1.0,,
No Bullets Necessary,AK 47 XL,Divine Seeds,420 watt,"Dutch Science Nutrients,Divine Grow,Gaia Green,",Manual,"Soil Grow Medium,",Glass Of Water,"Defoliation,Topping,",Mammoth Tents,19,1.0,,0.04
Frambolesco 2,Gorilla Zkittlez Auto,Fast Buds,150 watt,"Bio Tabs,Atami,",Manual,,Paper Towel,,Mammoth Tents,11,1.0,4.09,17.5
AMS auto sativas,Super Skunk Auto,Amsterdam Marijuana Seeds AMS,135 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,"LST,",,11,,,
Green crack auto fastbuds,Green Crack Auto,Fast Buds,300 watt,,,"Perlite Grow Medium,Soil Grow Medium,",,"Defoliation,",,10,,,4.23
Marshmallow OG Compound Genetics Pheno#1,Compound Genetics - Marshmallow OG,Custom Breeder & Strain,410 watt,"Green House Feeding,",Manual,"Coco Coir Grow Medium,Soil Grow Medium,",Paper Towel,"Topping,",15.5,19,1.0,1.31,6.56
Grow #2 Northern Lights /Seedstockers,Northern Lights,Seedstockers,480 watt,"Green Planet Nutrients,Nutrifield,Grotek,",Hydroponics,"Expanded Clay Grow Medium,",Paper Towel,"LST,FIMing,Topping,Main-Lining,Defoliation,",12.92,16,1.0,2.61,
Fast buds only,Bruce Banner Auto,Fast Buds,2100 watt,"Fox Farm,",Manual,"Soil Grow Medium,",,"LST,HST,FIMing,Defoliation,",262.47,9,1.0,4.2,9.0
Pineapple Seedstockers,Pineapple Fem,Seedstockers,310 watt,,Manual,"Soil Grow Medium,",Glass Of Water,"SoG,Defoliation,",10.76,13,1.0,,3.6
Golden lemon haze Seedstockers,Golden Lemon Haze,Seedstockers,480 watt,,Manual,"Soil Grow Medium,",Glass Of Water,"SoG,FIMing,Defoliation,",10.76,13,1.0,,3.25
Dutch passion sugar bomb punch /(Cup),Sugar Bomb Punch,Dutch Passion,310 watt,,Manual,"Soil Grow Medium,",Glass Of Water,"SoG,Defoliation,",10.76,13,1.0,,2.79
Delicious Cookies fem & Santaplantas.com,Delicious Cookies,Delicious Seeds,,,Manual,"Coco Coir Grow Medium,",,"LST,Defoliation,HST,",8.61,13,1.0,,49.38
22 Part 2 Candyland Manifold,Candyland,Garden Of Green,,,Manual,"Soil Grow Medium,Perlite Grow Medium,Peat Grow Medium,Compost Grow Medium,Humalite Grow Medium,",,"ScrOG,",,2,1.0,23.56,82.19
#44,Strawberry Cake Auto,Ganja Farmer Seeds,176 watt,"Fox Farm,",Manual,,Paper Towel,,,10,1.0,0.18,
Selection for this season Eureka,Kushiland - Eureka seeds,Custom Breeder & Strain,"LED / 150W The Smith 150W,",,Manual,,Paper Towel,"FIMing,SoG,Defoliation,",,24,,,
Roxanne - Big Bud summer 22,Big Bud,ILGM,"LED / 1400W Double Chips 2000W,LED / 27W 24 Inch Vertical Mount Full Spectrum,","Fish Head Farms,Real Growers,Down To Earth,",Drip,"Soil Grow Medium,",Paper Towel,"Topping,",,27,1.0,,5.75
Green Crack Seedstockers,Green Crack,Seedstockers,310 watt,,Manual,"Soil Grow Medium,",Glass Of Water,"SoG,Defoliation,",10.76,13,1.0,,3.45
Zkittalicious#1,Zkittalicious,Exotic Seed,250 watt,"BioBizz,Advanced Nutrients,",Manual,"BIOBIZZ LightMIX Grow Medium,",,"Defoliation,",,11,,0.71,
FastBuds Gorilla Zkittlez,Gorilla Zkittlez Auto,Fast Buds,660 watt,"Fish Head Farms,Dutchpro USA,Earth Juice,GreenGro,Down To Earth,",Manual,"Gorilla Grow Tent GGT 4x8,Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Topping,Defoliation,",16,11,2.0,11.68,29.49
Space Gas,Space Gas,Custom Breeder & Strain,"LED / 100W HLG 100 V2,","J.R. Peters, Inc.,General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"HST,FIMing,Defoliation,LST,",,10,1.0,,
Whale Fluke - Moby Dick Auto - GB Strain,Auto Moby Dick,GB Strains,310 watt,"Hesi,Top Crop,Boom Nutrients,Atami,Growth Technology,",Manual,"Soil Grow Medium,Expanded Clay Grow Medium,Coco Coir Grow Medium,",Other,"LST,Defoliation,",15.5,16,2.0,5.4,30.58
2nd Selection “MAMIA”,Strawpicanna #3 x cookies & cream - Basktrianglefarms,Custom Breeder & Strain,"LED / 150W The Smith 150W,",,Manual,,Paper Towel,"FIMing,",,21,,,
Selection for this season Eureka,One shot - Eureka seeds,Custom Breeder & Strain,"LED / 150W Custom,",,Manual,,Glass Of Water,,,28,,,
GG Auto Barney’s farm,Gorilla Glue Auto,Barney'S Farm,,"Fish Head Farms,Real Growers,",Manual,"AC Infinity Cloudlab 422 Advance Grow Tent 2x2 (24"" X 24"" X 48""),Soil Grow Medium,",Glass Of Water,,,12,1.0,,28.0
Squirt,Squirt,Humboldt Seed Company,315 watt,"Growth Technology,Real Growers,Botanicare,Dyna-Gro,FloraFlex,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"Topping,LST,Defoliation,",8,15,2.0,3.99,
22 11Roses Purple Mazar,11Roses EV x Purple Mazar Auto,Custom Breeder & Strain,,"Greenleaf Nutrients,Grotek,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Compost Grow Medium,",Glass Of Water,"Main-Lining,HST,",,22,3.0,,47.62
Watermelon Zkittles II -Tremojem Farms,Watermelon Zkittles,Custom Breeder & Strain,,"Fox Farm,Fish Head Farms,General Hydroponics (GHE),",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Topping,Defoliation,",,16,1.0,,3.7
Растениеводство Северных Широт.,Нуклеон Hazedtorr,Custom Breeder & Strain,,"Advanced Nutrients,CannaBioGen,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Defoliation,",,17,1.0,,
42 mix,Pineapple Express Auto,Fast Buds,310 watt,"Hesi,PLAGRON.,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Glass Of Water,"Topping,Defoliation,",Mammoth Tents,12,,5.04,
Mandarin Punch Auto,Mandarine Punch Auto,Sensi Seeds,,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,,13,1.0,1.59,
Armario de madera 0€,Tangie Auto,Fast Buds,,,Manual,,,,,0,8.0,,8.82
Expert gorilla,Gorrila Glue #4 (Expert Gorilla),Expert Seeds,200 watt,,Manual,"Soil Grow Medium,Vermiculite Grow Medium,Perlite Grow Medium,",,"Main-Lining,ScrOG,LST,Topping,FIMing,Defoliation,",3,7,1.0,,4.0
Night Owl - BubbleGum Queen (Auto),Night Owl Seeds - Bubble Gum Queen,Custom Breeder & Strain,550 watt,"Fish Head Farms,Botanicare,",Manual,"Soil Grow Medium,",Directly In Substrate,,,12,1.0,,7.8
Gelato Auto Fastbuds,Gelato Auto,Fast Buds,240 watt,"Advanced Nutrients,Terpinator,Purpinator,Element Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Coco Coir Grow Medium,",Paper Towel,"LST,",,12,1.0,,4.23
Gorilla Punch Auto Fastbuds,Gorilla Punch Auto,Fast Buds,240 watt,"Advanced Nutrients,Purpinator,Terpinator,Element Nutrients,",Manual,"Soil Grow Medium,Vermiculite Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,"LST,",,12,1.0,,2.82
Blue Dream #16,Blue Dream Auto,Fast Buds,,"Advanced Nutrients,",Manual,"Coco Coir Grow Medium,",,"Topping,LST,",,11,1.0,,
Summer amnesia,Bruce banner,Custom Breeder & Strain,,"Plant Success (Plant Revolution),Emerald Harvest,Cyco Platinum Series,Fox Farm,",Manual,"Soil Grow Medium,",Paper Towel,"LST,Topping,ScrOG,SoG,Lollipoping,Defoliation,",52.49,14,2.0,,9.0
First FastBuds Grow,Forbidden Runtz Auto,Fast Buds,200 watt,"BioBizz,",Manual,"Light mix soil Grow Medium,",,"LST,",Custom,10,,,
AK Freezy Grow,AK Auto,Fast Buds,300 watt,"Top Crop,",Manual,"Soil Grow Medium,",,"LST,Defoliation,Topping,",2.15,8,1.0,,1.48
Skunk Auto #1 Sensi Seeds,Sensi Skunk Automatic,Sensi Seeds,150 watt,"BioBizz,Vitalink,",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Glass Of Water,"LST,",,9,1.0,1.23,
GGG RQS Competition,Triple G,Royal Queen Seeds,"LED / 150W Custom,LED / 150W Custom,LED / 100W Mars TS 600,","Advanced Nutrients,BioBizz,RQS Organic Nutrients,PLAGRON.,",Manual,"BioBizz AllMix Grow Medium,",Peat Pellet,"LST,Defoliation,",,FLOWERING,,,
