diary_name,strain,strains_company,light_watt,nutrients,indoor,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
Banana Blaze Auto - Dutch Passion,Auto Banana Blaze,Dutch Passion,200 watt,"Growth Technology,Shogun,",True,Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",Other,"Love,LST,Topping,Defoliation,More love,Even more love,",0.75,12,1.0,271.0,
First time growing autos *take2,Smoothie Auto,Fast Buds,100 watt,"BioBizz,",True,Manual,"Soil Grow Medium,",,"Tie down,LST,Defoliation,ScrOG,",0.37,12,1.0,,422.98
Guerilla Zkitt' auto / coming back,Gorilla Zkittlez Auto,Barney'S Farm,200 watt,"Canna,Platinium Hydroponics,",True,Drip,"Expanded Clay Grow Medium,",Paper Towel,"LST,HST,Defoliation,",0.36,14,1.0,131.0,402.0
Doppelgänger,9 Pound Hammer,Growers Choice Seeds,600 watt,"Real Growers,CX-Horticulture,Advanced Nutrients,",True,Manual,"Coco Coir Grow Medium,Mineral Wool Grow Medium,",,"Topping,Defoliation,LST,HST,ScrOG,",,13,1.0,,
Blueberry Muffin x 4,Blueberry Muffin,Humboldt Seed Company,350 watt,"BioBizz,Optic Foliar,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,ScrOG,",0.74,14,4.0,170.1,146.0
Fbt2313,FBT2313,Fast Buds,720 watt,"Fred T. Lizer,",True,Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Defoliation,",,11,,,
Fbt2312,FBT2312,Fast Buds,720 watt,"Fred T. Lizer,",True,Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Defoliation,",,11,,,
Fbt2311,FBT2311,Fast Buds,720 watt,"Fred T. Lizer,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Defoliation,",,11,,54.0,
Fbt2310,FBT2310,Fast Buds,720 watt,"Fred T. Lizer,",True,Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Defoliation,",,11,,167.0,
Fbt2309,FBT2309,Fast Buds,720 watt,"Fred T. Lizer,",True,Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),",Directly In Substrate,"LST,Defoliation,",,11,,182.0,
JUST WANT YOUR VENOM,Green Poison®,Sweet Seeds,310 watt,"Hesi,Atami,Green House Feeding,Growth Technology,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,Coco Coir Grow Medium,",Paper Towel,"LST,Defoliation,",1.44,16,1.0,36.0,168.0
Malibu OG Gold - Sensi Seeds Research,Malibu OG Gold,Sensi Seeds,205 watt,"Advanced Nutrients,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"Main-Lining,ScrOG,Defoliation,Topping,",0.8,18,2.0,,
Mango Sapphire,Mango Sapphire,Humboldt Seed Organization,240 watt,"Advanced Nutrients,General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,LST,",0.64,12,1.0,107.0,500.0
Pumpkin Spice - Sensi Seeds Research,Pumpkin Spice,Sensi Seeds,205 watt,"Advanced Nutrients,",True,,"Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,"Main-Lining,ScrOG,Topping,Defoliation,",0.8,18,2.0,40.0,100.0
Crescendo&apple butter,Crescendo RBX1,ETHOS Genetics,1000 watt,"Advanced Nutrients,Green Planet Nutrients,",True,Manual,"Soil Grow Medium,",,"LST,Topping,Defoliation,",,6,,,
Test(FTB2313)//marshydro,FBT2313,Fast Buds,680 watt,"RQS Organic Nutrients,",True,Manual,"Soil Grow Medium,Coco Coir Grow Medium,Rqs nutrients Grow Medium,",Glass Of Water,"LST,Defoliation,",,10,1.0,,
Taptabeuze happaPa,Banana Purple Punch Auto,Fast Buds,55 watt,"BioBizz,General Hydroponics (GHE),",True,Drip,"Soil Grow Medium,",Paper Towel,"Defoliation,Main-Lining,LST,",0.16,11,1.0,49.83,345.0
Fast Buds- Forbidden Runtz,Forbidden Runtz Auto,Fast Buds,300 watt,"Bio Tabs,",True,Drip,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Glass Of Water,"LST,Defoliation,",1,9,1.0,75.0,400.0
Gorilla breath humboldt seeds,OGKZ,Humboldt Seed Organization,80 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,HST,ScrOG,Topping,Defoliation,",0.19,9,3.0,106.0,600.0
Cbd Chronic & Cbd Crack,CBD Auto 1:1 (CBD Crack),Fast Buds,200 watt,"General Hydroponics (GHE),",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,Honey,",0.19,8,1.0,35.4,
Bubba Cheescake photo grow,Bubba Cheesecake,Seedsman,"LED / 400W Custom,LED / 400W Custom,","FloraFlex,",True,Manual,"Soil Grow Medium,",Glass Of Water,"Topping,Defoliation,",Custom,FLOWERING,,,
First grow,GMO Auto,Atlas Seed,"LED / 400W,LED / 400W,","Advanced Nutrients,Plant Success (Plant Revolution),",True,Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Soil Grow Medium,",Paper Towel,"LST,",,FLOWERING,,,
Yummy Gummies,Gummibears,Atlas Seed,300 watt,"General Hydroponics (GHE),Superthrive,",True,Manual,"Soil Grow Medium,",,"Defoliation,",1.11,10,1.0,,451.89
BLUE SUNSET SHERBERT by Barney's Farm,Blue Sunset Sherbert,Barney'S Farm,720 watt,"Top Crop,Hesi,Grotek,Advanced Nutrients,BioBizz,",True,Manual,"LIGHT MIX by BioBizz Grow Medium,",,,1.44,16,1.0,,300.0
#ViparSpectra - LSD by Seeds Mafia,Seeds Mafia - LSD,Custom Breeder & Strain,240 watt,"Top Crop,Grotek,Advanced Nutrients,Hesi,BioBizz,",True,Manual,"Soil Grow Medium,",Paper Towel,"SoG,HST,LST,Topping,ScrOG,Defoliation,",1.44,13,1.0,,300.0
