diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
Bubblegum,Bubblegum,Zamnesia Seeds,200 watt,"Mills Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Glass Of Water,"LST,Topping,Defoliation,",7.75,10,1.0,3.53,3.53
CRYSTAL CANDY,Crystal Candy F1 Fast Version,Sweet Seeds,200 watt,"Mills Nutrients,",,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Glass Of Water,"Topping,LST,Defoliation,",7.75,10,1.0,2.82,3.53
SAD SWEET AFGHANI DELICIOUS,S.A.D. Sweet Afgani Delicious F1 Fast Version®,Sweet Seeds,200 watt,"Mills Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Glass Of Water,"Topping,LST,Defoliation,",7.75,10,2.0,8.47,8.82
Badazz OG Cheese /without Topping,Badazz OG Cheese,Seedsman,,,,"Soil Grow Medium,Other Grow Medium,",,,,26,1.0,,52.91
Bogies' First,Super Silver Haze,Amsterdam Genetics,250 watt,"General Hydroponics (GHE),",Manual,,Peat Pellet,"Topping,LST,",9.84,16,1.0,1.73,6.98
Peyote critical and Runtz,Peyote Critical,Barney'S Farm,1420 watt,,Drip,"Coco Coir Grow Medium,",,"Defoliation,Topping,ScrOG,",,17,1.0,,7.4
Gelato,Sweet Gelato Auto®,Sweet Seeds,100 watt,"PLAGRON.,BioBizz,Plant Success (Plant Revolution),",Manual,"Soil Grow Medium,",Paper Towel,"Topping,Defoliation,LST,",5.38,8,1.0,0.63,0.63
Growing some Humboldt County plants!,All Gas OG (formerly Asphalt Plant),Humboldt Seed Company,200 watt,"General Hydroponics (GHE),Lotus Nutrients,",Hydroponics,"Expanded Clay Grow Medium,",,"Topping,LST,Defoliation,",,7,,,
Pink starburst by Silky,Pink Starburst,Anesia Seeds,240 watt,,Manual,"Soil Grow Medium,",,"LST,HST,Defoliation,Topping,",4.84,17,1.0,,10.83
Banana Hammock RBX,Banana Hammock R1,ETHOS Genetics,660 watt,"Aurora Innovations (Roots Organics),Fox Farm,Coast of Maine,Bloom City Organics,True Plant Science (TPS),",Manual,"Roots Organics 707 Grow Medium,",,"Topping,LST,Defoliation,",52.49,8,4.0,,6.5
ILGM-AK47 AUTO-WATER ONLY,AK-47 Autoflower,ILGM,100 watt,,Manual,"Soil Grow Medium,",Glass Of Water,"Topping,Defoliation,",8,15,1.0,4.75,21.48
Diamond Auto,Diamond Auto,Custom Breeder & Strain,,"Top Crop,PLAGRON.,",Manual,"Top Crop Heavy Mix Grow Medium,",Glass Of Water,,,2,,,
RQS Royal Gorilla,Royal Gorilla Automatic,Royal Queen Seeds,"LED / 200W SF-2000,",,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Topping,",,14,,,
The 4 dwarfs,Royal Dwarf,Royal Queen Seeds,1200 watt,"General Hydroponics (GHE),Botanicare,",Manual,"Coco Coir Grow Medium,Vermiculite Grow Medium,",Glass Of Water,"Defoliation,",19.69,8,4.0,,6.56
BlackBerry #1 First grow,Blackberry Auto,Fast Buds,250 watt,"PLAGRON.,",Manual,"Soil Grow Medium,",,"FIMing,Defoliation,",10.76,8,1.0,0.85,5.29
Purple Skunk Auto - Sensi Seeds,Purple Skunk Automatic,Sensi Seeds,600 watt,"Advanced Nutrients,",Manual,"Coco Coir Grow Medium,",Glass Of Water,"LST,Topping,SoG,Defoliation,ScrOG,",10.76,12,1.0,,0.92
FastBuds journey again!,Green Crack Auto,Fast Buds,200 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,",8.72,11,1.0,1.16,4.59
Seedstockers - Mars Hydro FC8000,Green Crack Auto,Seedstockers,800 watt,"Green Buzz Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Leca Grow Medium,",Paper Towel,"Defoliation,",5.38,13,1.0,1.02,
Gorilla Glue Auto [1.2 - 22],Gorilla Glue Auto,Custom Breeder & Strain,120 watt,"BioBizz,Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Defoliation,ScrOG,",3.88,11,1.0,1.55,
Amnesia Haze Auto [1.1 - 22],Amnesia Haze Auto,Custom Breeder & Strain,120 watt,"BioBizz,Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,ScrOG,",3.88,10,2.0,2.22,6.31
Bola Mintz (Anesia) Purple Pheno,Bola Mintz,Anesia Seeds,600 watt,,Manual,"AC Infinity Cloudlab 866 Advance Grow Tent 5x5 (60"" X 60"" X 80""),Soil Grow Medium,",,,,10,1.0,,
Honey Peach CBD,Honey Peach Auto CBD®,Sweet Seeds,200 watt,"Remo Nutrients,Botanicare,",Manual,"Coco Coir Grow Medium,Promix HP Grow Medium,",Glass Of Water,"LST,",,11,1.0,,
"""ArtGrow"" With love to Spliff Seeds",Moon Walker Kush,Spliff Seeds,245 watt,"General Hydroponics (GHE),",Manual,"Soil Grow Medium,Coco Coir Grow Medium,Expanded Clay Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Mineral Wool Grow Medium,",,"Topping,LST,Defoliation,HST,Main-Lining,",6.46,14,1.0,3.42,8.64
Red Strawberry Banana,Red Strawberry Banana Auto,Sweet Seeds,300 watt,"General Hydroponics (GHE),",Manual,,Glass Of Water,,8.61,9,2.0,8.96,45.33
"Strawberry, Strawberry…",Strawberry Nuggets,Mephisto Genetics,1500 watt,"Real Growers,Down To Earth,Dr. Earth,",Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,",,10,,,
Pink Sugar Breath F2 Testers,Pink Sugar Breath F2,Custom Breeder & Strain,200 watt,"Element Nutrients,General Hydroponics (GHE),",Manual,"Soil Grow Medium,",,,,9,5.0,,
Thc titan,Square 1 Genetics Big league,Custom Breeder & Strain,600 watt,"Foop Organic Biosciences,",Manual,"Gorilla Grow Tent GGT 4x4,Coco Coir Grow Medium,Perlite Grow Medium,Other Grow Medium,",,"LST,Topping,Defoliation,",393.7,8,1.0,,6.7
