diary_name,strain,strains_company,light_watt,nutrients,indoor,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
DYNOMYCO Organic Indo,Orange Sherbet Auto,Fast Buds,245 watt,,True,Manual,"Soil Grow Medium,",Glass Of Water,,2,11,2,170.1,453.59
Seedsman Tester #1,Seedsman - Seedsman Tester #1,Custom Breeder & Strain,208 watt,"Earth Juice,Botanicare,",True,Manual,"Soil Grow Medium,",,"Defoliation,Topping,LST,",,20,1,110,
Box misto con supergenetiche fem!!,Mimosa x Orange Punch,Barney'S Farm,480 watt,"Canna,Terpinator,Purpinator,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,,1.2,19,1,130,745
First grow!! Gorilla Cookies Auto x2,Gorilla Cookies Auto,Fast Buds,176 watt,"Canna,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,",0.3,13,2,85.05,314.68
West Coast OG Auto,West Coast O.G. Auto,Fast Buds,"LED / 300W Mars TSL 2000,LED / 300W Mars TSL 2000,",,True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Bat guanno Grow Medium,Worms casting Grow Medium,",Rockwool Cube,"LST,",,FLOWERING,,,
Super Lemon Haze,Super Lemon Haze Auto,Green House Seed Co.,730 watt,"Gaia Green,Fox Farm,",True,Aeroponics,"Fox Farm Grow Medium,",Directly In Substrate,"LST,HST,ScrOG,Topping,Defoliation,",,18,,,
Twisted cookies,Twisted Cookies,Twisted Tree Autoflowers,176 watt,"Fox Farm,Bloom City Organics,",True,Manual,"Soil Grow Medium,",,,,13,1,85.05,
Frosted Guava from Lukush,Frosted Guava Automatic,Zamnesia Seeds,300 watt,"Advanced Nutrients,",True,,"CannaTerra Grow Medium,",Directly In Substrate,"Main-Lining,Defoliation,Topping,",,10,1,75.2,
Pineapple Kush,Pineapple Kush,Royal Queen Seeds,300 watt,"BioBizz,Atami,Xtreme Gardening,",True,Manual,"Só Grow Medium,Biobizz lightmix Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",,17,1,,
First Diary-Organic grow,O.M.G,Ripper Seeds,450 watt,"Bio Tabs,General Hydroponics (GHE),BioBizz,Bio Green,",True,Manual,"Soil Grow Medium,",Paper Towel,,,11,,,
Gary Payton,Gary Payton,Custom Breeder & Strain,,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,",,"Topping,",,12,1,35,35
lemon haze,Super Lemon Haze,ILGM,3200 watt,"Canna,General Hydroponics (GHE),Botanicare,",True,Hydroponics,,,"DWC in 5 GL reservoir,Topping,HST,Defoliation,",1.83,12,1,283.5,1163
Moby dick Auto,Moby Dick Auto,Barney'S Farm,1000 watt,"Vitalink,",True,Hydroponics,"Expanded Clay Grow Medium,Mineral Wool Grow Medium,",,"LST,Defoliation,ScrOG,",Custom,17,,229,
Cali Connection - Island Punch,Island Punch,The Cali Connection,480 watt,"Fox Farm,Fish Head Farms,",True,Manual,"Soil Grow Medium,",,"Lolipop,Topping,Defoliation,",,19,1,71,
Alaskan Purple Auto x7,Alaskan Purple Auto,Seedsman,1000 watt,,True,Manual,"Soil Grow Medium,",,"LST,",,11,7,,570
White Choco Auto x3,White Choco Autoflower,Amsterdam Genetics,1000 watt,,True,Manual,"Soil Grow Medium,",,"LST,",,14,3,,315
Sherbet Queen Auto x2,Sherbet Queen Automatic,Royal Queen Seeds,1000 watt,,True,Manual,"Soil Grow Medium,",,"LST,",,11,2,,160
Mimosa Cake,Mimosa Cake Auto,Fast Buds,350 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,,2.25,15,1,183.1,
Organic fastbuds,Orange Sherbet Auto,Fast Buds,1085 watt,"Ecothrive,",True,Manual,"Ecothrive living soil Grow Medium,",,,,7,3,,1417.47
auto purple punch,Purple Punch Auto,Barney'S Farm,"LED / 150W Mars TS 1000,LED / 100W Mars TS 600,","Green House Feeding,",True,Manual,"Soil Grow Medium,",Rockwool Cube,"Defoliation,",,12,,150,
Lord Kush Delicious seeds,Lord Kush,Delicious Seeds,80 watt,"BioBizz,",True,Manual,"Soil Grow Medium,",,"Defoliation,Topping,LST,",Mammoth Tents,14,1,,
"Orange Sherbet Auto, Fast Buds",Orange Sherbet Auto,Fast Buds,250 watt,"BioBizz,",True,Manual,"Biobizz All Mix Grow Medium,",,"LST,Defoliation,Spülen,",0.64,8,3,84,574
Culture femeniser green housse seeds,Caramel Apple Gelato X Gelato #41,Green House Seed Co.,"LED / 310W Mars TSW 2000,LED / 310W Mars TSW 2000,","Green House Feeding,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,Coco Coir Grow Medium,",,"Defoliation,LST,ScrOG,",,FLOWERING,,,
