diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
Delicious Choco..,Chocobang,Delicious Seeds,410 watt,"Gen1:11,Xpert Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Directly In Substrate,"Defoliation,",0.25,14,1.0,,586.0
First Grow - Red Critical Auto,Red Critical Auto,BSF Seeds,120 watt,"General Hydroponics (GHE),",Manual,"Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,"Defoliation,LST,",,9,,,
Gorilla Bastard Auto,Gorilla Bastard Auto,Caligen,100 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,,8,1.0,27.0,27.0
Blue Dream #2 auto coco,Blue Dream Auto,Fast Buds,105 watt,"General Hydroponics (GHE),Hesi,Advanced Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,",1.5,16,1.0,180.0,
Gorilla cookie madness,Gorilla Cookies Auto,Fast Buds,"LED / 300W Mars TSL 2000,","Gold Label,Canna,Advanced Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,SoG,",,12,12.0,,200.0
Fast buds purple lemonade,Purple Lemonade Auto,Fast Buds,600 watt,,Manual,"Soil Grow Medium,",Directly In Substrate,,,10,1.0,,163.58
AutoFlower #5,Blackberry Auto,Fast Buds,130 watt,"Aptus,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,",0.36,9,1.0,,265.0
Old school,Muay Thai,Flash Seeds,"LED / 450W Mars TS 3000,","Dr. Earth,",Manual,"AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),",,"LST,Defoliation,",2.74,17,1.0,,
First grow Skywalker OG Auto,Skywalker OG Auto,Barney'S Farm,60 watt,"General Hydroponics (GHE),",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,"LST,Defoliation,",0.25,14,1.0,79.0,
Purple Ryder,Purple Ryder,Doctor'S Choice,300 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Glass Of Water,,,8,,,
Ruff Rider | Caligen,Ruff Rider Auto,Caligen,200 watt,"General Hydroponics (GHE),",Manual,"Soil Grow Medium,",,,,8,1.0,120.0,120.0
Tale of 2 cookies - With my 24 y.o. Son,Gorilla Cookies Auto,Fast Buds,320 watt,"Canna,Plant Success (Plant Revolution),",Manual,"AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),Soil Grow Medium,Perlite Grow Medium,Clay balls Grow Medium,Dry amendments Grow Medium,",,"LST,HST,Defoliation,",8.23,10,1.0,,105.0
Clon War,Peyote Cookies,Barney'S Farm,888 watt,"Canna,Advanced Nutrients,BioBizz,",Manual,"Soil Grow Medium,",,,Custom,9,5.0,,1000.0
GDP Autoflowers,Grand Daddy Purp,MSNL,"LED / 288W QB288 V2 Rspec,LED / 288W QB288 V2 Rspec,","Mills Nutrients,Botanicare,Plant Success (Plant Revolution),General Hydroponics (GHE),",Hydroponics,"Expanded Clay Grow Medium,",Glass Of Water,"LST,Topping,Defoliation,",,VEGETATION,,,
SSSC B.L.D.Auto Soil,Auto Bruce Lemon Diesel,Super Sativa Seed Club,"LED / 150W Mars TS 1000,","General Hydroponics (GHE),",Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,,0.6,12,1.0,10.0,
Purple Lemonade - Outdoors,Purple Lemonade Auto,Fast Buds,,"Fox Farm,",Manual,"Soil Grow Medium,Perlite Grow Medium,Peat Grow Medium,Worm Cast Grow Medium,",,"Defoliation,",,11,1.0,,44.9
Strawberry Banana auto,Strawberry Banana Auto,Fast Buds,100 watt,"Advanced Nutrients,Gaia Green,",Manual,"Gorilla Grow Tent GGT 2x4,Soil Grow Medium,",Paper Towel,"Defoliation,LST,Topping,",1.22,10,3.0,,530.0
Forbidden Runtz Auto,Forbidden Runtz Auto,Fast Buds,100 watt,"Advanced Nutrients,Gaia Green,",Manual,"Gorilla Grow Tent GGT 2x4,Soil Grow Medium,",Paper Towel,"LST,Defoliation,",1.22,10,3.0,100.0,297.0
"Northern light Auto , Afghan,Big Buds",420 Punch,Sensi Seeds,"LED / 205W ATS 200W Pro,","Canna,",Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,",,"Defoliation,ScrOG,",,13,2.0,,
BOG Sour Bubble: BOG Bubble X BOG Bubble,BOGBubble,B.O.G. Seeds,300 watt,"Microbe Life Hydro,South Cascade Organics,",Drip,"Gorilla Grow Tent GGT 2x4,Coco Coir Grow Medium,Other Grow Medium,",Paper Towel,"Topping,Main-Lining,LST,Defoliation,",0.74,16,2.0,,940.0
Bubba Kush,bubba kush,Custom Breeder & Strain,430 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,Vermiculite Grow Medium,",,,,18,3.0,425.24,481.94
+ Zombie kush DWC Hidroponia +,Zombie Kush,Ripper Seeds,225 watt,,Hydroponics,"Other Grow Medium,",,,,11,1.0,,60.0
Fast Bud Time,Zkittlez Auto,Fast Buds,200 watt,"BioBizz,Hesi,",Manual,"Perlite Grow Medium,Soil Grow Medium,",,"Defoliation,LST,",,10,,,
Green Thai,ontario,Custom Breeder & Strain,430 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,Vermiculite Grow Medium,",,,1.52,18,1.0,141.75,141.75
Black Mimosa - Captain Redbeard,Captain Redbeard - Black Mimosa,Custom Breeder & Strain,630 watt,"Xtreme Gardening,Down To Earth,",Manual,"Coco Coir Grow Medium,Soil Grow Medium,Worm Castings Grow Medium,",Glass Of Water,"Defoliation,HST,Topping,LST,",,21,,,
Double Tangie Banana Clone - Tiki Madman,Tiki Madman - Double Tangie Banana,Custom Breeder & Strain,630 watt,"Down To Earth,Bloom City Organics,General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Soil Grow Medium,Worm Castings Grow Medium,",Rockwool Cube,"HST,Topping,Defoliation,LST,",0.91,15,1.0,,
B.L.D.Auto SSSC DWC,Auto Bruce Lemon Diesel,Super Sativa Seed Club,400 watt,"General Hydroponics (GHE),B.A.C.,",Hydroponics,,Directly In Substrate,"Defoliation,LST,",1,14,1.0,130.0,
Gorilla cookies,Gorilla Cookies Auto,Fast Buds,730 watt,"Advanced Nutrients,",,"Soil Grow Medium,",Paper Towel,"Defoliation,",,12,2.0,,
2 Girls 1 Cup... (waterfarm),Wedding Glue Auto,Fast Buds,310 watt,"Botanicare,General Hydroponics (GHE),",Hydroponics,"Expanded Clay Grow Medium,Other Grow Medium,",Glass Of Water,"LST,Schwazzzz,Defoliation,Topping,HST,",Custom,13,1.0,,
Hulk Berry Clones,Hulkberry,Royal Queen Seeds,400 watt,"General Hydroponics (GHE),Advanced Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"ScrOG,Defoliation,Topping,LST,",0.5,22,1.0,,
update,Purple Punch Auto,Fast Buds,,"Indica Nutrients,Dutchpro USA,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,,FLOWERING,,,
"2: ""Girl Scout Cookies"" (weird genetics)",Girl Scout Cookies,Custom Breeder & Strain,400 watt,"Fox Farm,Terpinator,General Hydroponics (GHE),",Manual,"Soil Grow Medium,",Directly In Substrate,"Defoliation,",0.99,11,1.0,,297.39
Winter Black D.,Black Domina Fem,Sensi Seeds,150 watt,"Platinium Hydroponics,BioBizz,Canna,Atami,Guanokalong,",Manual,"Soil Grow Medium,Coco Coir Grow Medium,Worm Humus Grow Medium,Lombric Compo Grow Medium,Vermiculite Grow Medium,Expanded Clay Grow Medium,",Paper Towel,"Defoliation,Transplantation,LST,",0.54,17,1.0,22.0,122.0
IN HOUSE GENETICS,Black Cherry Pie BX,In House Genetics,600 watt,,,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,อื่นๆ Grow Medium,",Other,,,1,,190.0,
Wedding cake/zombie kush/Animal cookies,Wedding Cake,Amsterdam Marijuana Seeds AMS,205 watt,"Bio Tabs,",Drip,"Soil Grow Medium,",Peat Pellet,"LST,FIMing,ScrOG,",,13,2.0,,
The Bubba cheesecake experiment,Bubba Cheesecake,Seedsman,410 watt,"BuildASoil,",Manual,"Worm casting Grow Medium,Lava rock Grow Medium,Sphagnum peat moss Grow Medium,",Directly In Substrate,"Defoliation,",Custom,23,1.0,,
Jive S-2 (Auto) R-1,Monster Mash,Exotic Seed,1000 watt,"Superbud,",Manual,"Superbud living Soil Grow Medium,",Paper Towel,"SoG,Main-Lining,Topping,HST,LST,FIMing,ScrOG,Defoliation,",1,11,1.0,150.0,340.0
Blue Dream auto,Blue Dream Auto,Fast Buds,60 watt,,Manual,"Soil Grow Medium,Coco Coir Grow Medium,Vermiculite Grow Medium,Perlite Grow Medium,",,"LST,Defoliation,",1.2,20,1.0,,227.0
Apollo F1 (RQS Main Sponsor),Apollo F1,Royal Queen Seeds,100 watt,"RQS Organic Nutrients,",Manual,"Soil Grow Medium,",Other,"LST,Defoliation,",,8,1.0,,30.0
Pineapple Express,Premium Seed Market Pineapple express,Custom Breeder & Strain,200 watt,,Manual,"Used soil Grow Medium,",Glass Of Water,,,8,2.0,,
Cheese Auto by 2Fast4Buds,Cheese Auto,Fast Buds,310 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,Leaf Tucking,Tie down method,Defoliation,",0.25,11,1.0,,250.0
Banana Purple Punch Auto by 2Fast4Buds,Banana Purple Punch Auto,Fast Buds,310 watt,"BioBizz,Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,Tie Down,Leaf tucking,Tie down method,Defoliation,",0.75,12,3.0,,1000.0
SkywalkerOGRuntzXLAuto Tester sweetseeds,Skywalker OG Runtz XL Auto,Sweet Seeds,310 watt,"BioBizz,Advanced Nutrients,",Manual,"Biobizz Light Mix Grow Medium,Clay pebbles Grow Medium,",Glass Of Water,"Givin Love,Leaf Tucking,Whole Lotta Love,LST,HST,Defoliation,",0.5,11,2.0,,800.0
SENSI AMNESIA SCROG,Sensi Amnesia Feminized,Sensi Seeds,300 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,"Topping,ScrOG,",1,10,4.0,425.0,425.0
Heavy Duty Tent Frame,Modified Grow Tent Frame,Custom Breeder & Strain,,"Advanced Nutrients,",,,,,,29,,,
Custom Watering Table   by,Custom Watering Table,Custom Breeder & Strain,,,Custom Watering Table,"GrowTech Week 14,",,,,29,,,
I Build My Own LEDs,Custom LED Setup,Custom Breeder & Strain,"Custom LED Week 3,Custom LEDs Week 4,","Advanced Nutrients,",,"GrowTech Week 4,",,"PPFD,",,29,,,
Doctor's Choice,Lowryder feminized,Doctor'S Choice,240 watt,"Canna,",Manual,"Harvest all mix Grow Medium,",,,0.6,14,1.0,71.0,210.0
Buon 420 a tutti,CampaCavallo 420 day,Custom Breeder & Strain,,,Manual,,Other,"HST,",,3,,,
Purple Lemonade,Purple Lemonade Auto,Fast Buds,330 watt,"PLAGRON.,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"ScrOG,Defoliation,",1,11,3.0,,800.0
Gorilla punch auto,Gorilla Punch Auto,Fast Buds,310 watt,,,"Soil Grow Medium,",Paper Towel,"LST,HST,",1.22,8,1.0,,
4x4 Organic Autos tent-Not adjusting PH,Runtz Auto,Barney'S Farm,340 watt,"Gaia Green,BuildASoil,NPK Industries,Nature's Living Soil,",Manual,"Coco loco Grow Medium,",,"LST,",Custom,12,1.0,,
Bubbas Double Ceesecake,Bubba Cheesecake,Seedsman,300 watt,"Advanced Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,Defoliation,LST,",0.5,17,1.0,,1080.0
Euphoria indoor,Euphoria,Custom Breeder & Strain,150 watt,"Fox Farm,Earth Juice,",Manual,"Soil Grow Medium,",Paper Towel,"Topping,LST,HST,FIMing,Defoliation,",Custom,21,,,
Kiss indoor,Kiss,Kannabia Seed Company,150 watt,"Fox Farm,Earth Juice,",Manual,"Soil Grow Medium,",Glass Of Water,"Defoliation,HST,LST,FIMing,Topping,",2.74,21,1.0,,
Sacitrus Bomb not Haze!!,Sacitrus Haze,Seeds Mafia,240 watt,"Green Buzz Nutrients,Mills Nutrients,Green House Feeding,Aptus,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,,0.36,12,1.0,108.6,543.0
Moby Dgusta Pine,Moby Dgusta Pine,Custom Breeder & Strain,240 watt,,Drip,"Organic soil Grow Medium,",Glass Of Water,"FIMing,Topping,LST,Defoliation,ScrOG,",Custom,19,2.0,,
Purple Punch Auto,Purple Punch Auto,Fast Buds,300 watt,"Down To Earth,",Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,",Glass Of Water,"Topping,LST,Top Dressing,Defoliation,",0.61,7,1.0,,45.0
OG Kush,OG Kush Auto,Fast Buds,150 watt,"Element Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,,1.14,10,3.0,186.0,186.0
Wedding Glue,Wedding Glue Auto,Fast Buds,150 watt,"Element Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,,0.35,10,3.0,,163.86
Gelato,Gelato Auto,Fast Buds,150 watt,"Element Nutrients,Fish Head Farms,Botanicare,",Manual,"Soil Grow Medium,",Paper Towel,,2.99,17,3.0,,3685.44
1st Grow of 2023: Skylab Lives!,Do-G,Ripper Seeds,480 watt,"General Hydroponics (GHE),Plant Success (Plant Revolution),Fish Head Farms,Botanicare,New Millenium,",Manual,"Coco Loco Grow Medium,",Paper Towel,,,16,,,
GHS - Super Lemon Haze,Super Lemon Haze,Green House Seed Co.,150 watt,,Hydroponics,"Coco Coir Grow Medium,Perlite Grow Medium,",,"LST,ScrOG,Topping,Defoliation,",0.33,16,2.0,,255.0
Sweet Skunk Auto,Sweet Skunk Automatic,Royal Queen Seeds,100 watt,"BioBizz,",Manual,"Soil Biobizz light mix Grow Medium,",Paper Towel,"Defoliation,LST,Topping,",0.6,12,1.0,,
Hard diésel (GEA SEEDS),Hard Diesel,Gea Seeds,550 watt,"BioBizz,Advanced Nutrients,Guanokalong,",Manual,"Soil Grow Medium,",Paper Towel,"SoG,Defoliation,",,14,,,
AT WAR&WITHOUT LIGHT! STRAWBERRY BANANA,Strawberry Banana Auto,Fast Buds,400 watt,"CannaBioGen,Canna,Green House Feeding,",Hydroponics,"Coco Coir Grow Medium,",Paper Towel,"LST,Defoliation,",,13,3.0,,
"My first grow ""gorilla glue auto""",Herbies Gorilla Glue Auto,Custom Breeder & Strain,"LED / 100W SF-1000,LED / 100W SF-1000,","BioBizz,B.A.C.,PLAGRON.,",Manual,"Coco Coir Grow Medium,Other Grow Medium,",Glass Of Water,"ScrOG,LST,Defoliation,",,FLOWERING,,,
AT WAR & WITHOUT LIGHT! MIMOSA CAKE auto,Mimosa Cake Auto,Fast Buds,400 watt,"CannaBioGen,Canna,Green House Feeding,",Hydroponics,"Coco Coir Grow Medium,",Paper Towel,"LST,Defoliation,",,15,3.0,,
OG Kush ( EUROGROW ),OG kush eurogrow,Custom Breeder & Strain,600 watt,"BioBizz,Advanced Nutrients,Guanokalong,",Manual,"Soil Grow Medium,",Paper Towel,,,13,,,
AT WAR & WITHOUT LIGHT!Purple Punch auto,Purple Punch Auto,Fast Buds,400 watt,"CannaBioGen,Canna,Green House Feeding,",Hydroponics,"Coco Coir Grow Medium,",Paper Towel,"LST,Defoliation,",,11,2.0,,
Brooklyn as first,Auto Brooklyn Sunrise,Dutch Passion,150 watt,"PLAGRON.,",Manual,"Soil Grow Medium,",Other,"Defoliation,LST,",0.48,13,1.0,,
Autopot experiment,Northern Light Automatic,Royal Queen Seeds,200 watt,"BioBizz,",Hydroponics,"Coco Coir Grow Medium,Expanded Clay Grow Medium,",Directly In Substrate,"Defoliation,LST,",0.8,11,3.0,,255.0
Fruity Pebbles hunt for real deal,Fruity Pebbles Feminized,MSNL,300 watt,"General Hydroponics (GHE),Superthrive,Terpinator,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"ScrOG,Defoliation,Topping,LST,",Custom,8,1.0,,
Lemon kush,Lemon Kush,Custom Breeder & Strain,,,Manual,,,,,15,,,
Strawberry Banana Cheesecake,Strawberry Banana,Custom Breeder & Strain,,"Gaia Green,",Manual,"Pro Mix HP Grow Medium,Pro Mix HP Grow Medium,",Paper Towel,"FIMing,Topping,",,26,8.0,,226.8
You are a magnet for blessings.,Gorilla Cookies Auto,Fast Buds,400 watt,"Fox Farm,",Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Soil Grow Medium,Perlite Grow Medium,",,,4.88,18,1.0,101.3,13.97
Fast Buds Purple Lemonade,Purple Lemonade Auto,Fast Buds,"LED / 240W,LED / 240W,","General Hydroponics (GHE),",Manual,"AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),Soil Grow Medium,",Paper Towel,"LST,Defoliation,",,FLOWERING,,,
Round 2 5x5 living soil,Blue Dream,Seedsman,760 watt,"BuildASoil,Rootwise Soil Dynamics,",Manual,"Living soil Grow Medium,",Directly In Substrate,"Leaf tucking,HST,LST,Defoliation,",7.62,16,1.0,,
Nirvana Swiss Cheese Auto,Swiss Cheese Autoflower,Nirvana,,,Manual,,,,0.8,8,1.0,,130.0
Gorilla Cookies 1st grow,Gelato Auto,Fast Buds,480 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,1.44,10,2.0,,
LSD & California Gold,LSD-Feminsed,Barney'S Farm,490 watt,"Canna,Hesi,",Drip,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,",,"Topping,FIMing,Defoliation,LST,ScrOG,",1.5,13,5.0,,750.0
Franco Lemon Cheese and Durban Poison,Franco's Lemon Cheese,Green House Seed Co.,"LED / 120W CR600 (1000W),","BioBizz,",Manual,"Soil Grow Medium,",,"Topping,Defoliation,",,FLOWERING,,,
Mephisto 2x2,24 Carat,Mephisto Genetics,200 watt,"Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,,0.37,12,1.0,,
Orange Runtz Cake - Conscious Genetics,Orange Runtz Cake - Conscious Genetics,Custom Breeder & Strain,310 watt,"PLAGRON.,Advanced Hydroponics of Holland,Advanced Nutrients,",Hydroponics,"Expanded Clay Grow Medium,",Rockwool Cube,"Topping,HST,Defoliation,",,14,,,
PURPLE THAI,Purple Thai,MSNL,480 watt,"Advanced Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,Defoliation,",0.3,16,1.0,,570.0
ARMAZI fem,Armazi Fem,Caucasian Seeds,650 watt,"Advanced Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,Defoliation,",0.3,13,1.0,,360.0
KOPALA fem,Kopala Fem,Caucasian Seeds,480 watt,"Advanced Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,Defoliation,",0.4,13,1.0,,870.0
DEVI auto,Devi Auto,Caucasian Seeds,480 watt,"Advanced Nutrients,",Manual,,,,0.4,13,1.0,,415.0
Blueberry Cheese Auto BF,Blueberry Cheese Auto,Barney'S Farm,150 watt,"Fox Farm,",Manual,"Coco Coir Grow Medium,foxfarm Ocean Forrest Grow Medium,Worm Castings Grow Medium,",,"LST,Defoliation,",Custom,12,,,
[Dutch Passion] Auto Power Plant,Auto Power Plant,Dutch Passion,,"Namaste Nutrientes,Top Crop,",Manual,"Growmix Grow Medium,",,,,24,1.0,,100.0
Triton biscotto lime seedstocker,Triton Biscotto Lime Auto,Seedstockers,150 watt,"Bio Tabs,",Drip,"Soil Grow Medium,",,"Topping,Defoliation,",1,12,1.0,78.0,228.0
Seeds Genetics Co. Durban and Amnesia,Durban Feminized,Seeds Genetics Co.,450 watt,"PLAGRON.,",Manual,"Soil Grow Medium,",Paper Towel,"LST,Topping,Defoliation,",,12,7.0,,600.0
Sour Power,Sour Stomper,Mephisto Genetics,260 watt,"Real Growers,",Manual,"Soil Grow Medium,",,"Defoliation,",2.44,10,1.0,,
Kings Tart,Kings Tart,Green House Seed Co.,475 watt,"Canna,",Hydroponics,"Clay pebbles Grow Medium,",Paper Towel,"Topping,Defoliation,ScrOG,",1.2,14,1.0,,652.04
Conscious Genetics Kush V3,Conscious Genetics Kush V3,Custom Breeder & Strain,160 watt,"Hesi,",Manual,"Soil Grow Medium,",Paper Towel,,Custom,13,1.0,,82.0
BSF Star Players Zkittlez X Zkittlez,Rainbows,BSF Seeds,340 watt,"Canna,Hesi,Advanced Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,,Custom,14,3.0,,153.0
West coast og nft grow,West Coast O.G. Auto,Fast Buds,120 watt,"Growth Technology,",Hydroponics,,,"Defoliation,",,9,,,
1st grow,Watermelon Candy Automatic,Zamnesia Seeds,150 watt,"Grotek,Atami,Advanced Hydroponics of Holland,BioBizz,PLAGRON.,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,0.64,12,1.0,,117.0
