diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
#CannapediaGrowersCup4th,Runtz,Zamnesia Seeds,215 watt,"Advanced Nutrients,General Hydroponics (GHE),",Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"Transplant,Transplantation,Defoliation,Repellent,Topping,LST,",1,18,1.0,120.0,1130.0
Green crack,Green Crack,Crop King Seeds,360 watt,"Advanced Nutrients,Fox Farm,",Manual,"Soil Grow Medium,",Peat Pellet,"LST,",,10,,,
Smoothie,Smoothie Auto,Fast Buds,"LED / 2000W Custom,LED / 2000W Custom,","Cronk Nutrients,General Hydroponics (GHE),Blue Planet Nutrients,",Manual,"Soil Grow Medium,",Glass Of Water,,,FLOWERING,,,
Gorilla punch (fast buds),Gorilla Punch Auto,Fast Buds,400 watt,"Advanced Nutrients,General Hydroponics (GHE),",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Glass Of Water,"LST,",,11,1.0,,51.0
Herbies Auto Run,Gelato Auto,Herbies Seeds,480 watt,,,"Coco Coir Grow Medium,Perlite Grow Medium,Other Grow Medium,",Directly In Substrate,"LST,Defoliation,",Custom,12,,,
Royal Haze&Critical (Autoflowering),Royal Haze Automatic,Royal Queen Seeds,300 watt,"BioBizz,",Manual,"Soil Grow Medium,",Paper Towel,"LST,HST,Defoliation,",1.44,13,2.0,,
Sensi amnesia XXL auto,Sensi Amnesia Auto,Sensi Seeds,300 watt,,Manual,,Directly In Substrate,"Topping,LST,Defoliation,",,11,1.0,,60.0
Rozay Sensible,Pink Rozay x Strawberry Banana Auto,Original Sensible Seeds,300 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,Defoliation,",,11,1.0,,55.0
Gelato Fastbuds,Gelato Auto,Fast Buds,300 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,Defoliation,",,12,2.0,,110.0
Знакомство с Ухтой,Bad Guy,Custom Breeder & Strain,300 watt,,Manual,"Keva с биогумусом Grow Medium,Навоз Grow Medium,",Paper Towel,"Topping,Лалипапинг,Main-Lining,Defoliation,LST,Лалипап,",0.8,17,1.0,286.0,431.0
Jive S-2 (Auto) R-2,Caramella Auto,Expert Seeds,1100 watt,"Superbud,",Manual,"Super living soil Grow Medium,",Paper Towel,"SoG,FIMing,LST,Topping,Defoliation,HST,Main-Lining,ScrOG,",1.83,10,2.0,280.0,650.0
Cherry GMO Z-cube,Cherry gmo z-cube from riot seeds,Custom Breeder & Strain,,"Hesi,BIOCANNA,BioBizz,Canna,",Manual,"Soil Grow Medium,",,"SoG,",,FLOWERING,,,
Gorilla Zkittlez Auto,Gorilla Zkittlez Auto,Fast Buds,,,Manual,"Coco Coir Grow Medium,",Paper Towel,"Defoliation,",,13,1.0,,
Wedding Cake Autoflower,Wedding Cake Autoflower,ILGM,150 watt,"General Hydroponics (GHE),Botanicare,True Plant Science (TPS),",Hydroponics,"Mineral Wool Grow Medium,Expanded Clay Grow Medium,",Directly In Substrate,"Defoliation,LST,Topping,",0.26,13,1.0,,822.14
Runtz Muffin - Barney's Farm,Runtz Muffin,Barney'S Farm,600 watt,"Down To Earth,",Manual,"Coco Coir Grow Medium,Worm Castings Grow Medium,Soil Grow Medium,",Glass Of Water,"HST,Topping,Defoliation,LST,",0.91,16,,,
42FastBuds Purple Punch,Purple Punch Auto,Fast Buds,540 watt,,Drip,"Coco Coir Grow Medium,Perlite Grow Medium,",Glass Of Water,"Topping,HST,Defoliation,ScrOG,",1.35,14,1.0,298.4,
Dos Si Dos - run #2 of this strain,Dos Si Dos 33,Barney'S Farm,760 watt,"FloraFlex,General Hydroponics (GHE),Terpinator,Fish Head Farms,",Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Coco Coir Grow Medium,Perlite Grow Medium,",,"LST,Topping,ScrOG,Defoliation,",1.22,13,1.0,,
Strawberry cheesecake,Strawberry Cheesecake Auto,Seedsman,,,Manual,,,,,FLOWERING,,,
Gorilla Zkittlez,Gorilla Zkittlez,Barney'S Farm,600 watt,"Advanced Hydroponics of Holland,PLAGRON.,",Manual,"Soil Grow Medium,",,,1.44,12,16.0,,
GLP 2nd run,Green Love Potion,Samsara Seeds,150 watt,"Advanced Nutrients,BioBizz,Vitalink,Dynomyco,",Manual,"Perlite Grow Medium,Coco Coir Grow Medium,Vermiculite Grow Medium,Other Grow Medium,",Directly In Substrate,"FIMing,LST,Defoliation,",1.44,12,1.0,31.0,
Mommas Meet 12/12,ShiskaBerry,Barney'S Farm,300 watt,"Gaia Green,Maxicrop,Down To Earth,Xtreme Gardening,Real Growers,",Manual,"CoolGrows GT 48x48x80,Soil Grow Medium,",Directly In Substrate,,4.88,27,1.0,,226.8
GSC by Kannabia,GSC Kannabia,Kannabia Seed Company,300 watt,"Age Old Organics,Growth Technology,Dynomyco,Botanicare,Emerald Harvest,",Manual,"Gorilla Grow Tent GGT 2x2.5,Soil Grow Medium,Perlite Grow Medium,",,,0.61,22,1.0,,244.0
Og kush auto,OG Kush RBx Autoflower,ETHOS Genetics,440 watt,"Fred T. Lizer,",Manual,,,"Autoflowers 18-6,",,9,2.0,,
Gelato #45 Clones,Gelato #45,Barney'S Farm,450 watt,"Growth Technology,Canna,",Hydroponics,"Mineral Wool Grow Medium,",,"Topping,Defoliation,",1.49,11,6.0,,
Gelato-K Kannabia,Gelato-K,Kannabia Seed Company,600 watt,"Age Old Organics,Growth Technology,Dynomyco,Emerald Harvest,Botanicare,",Manual,"Gorilla Grow Tent GGT 2x2.5,Soil Grow Medium,Perlite Grow Medium,",,,0.61,22,1.0,,261.0
My first RQS grow,Critical,Royal Queen Seeds,300 watt,"General Hydroponics (GHE),",Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",Peat Pellet,"ScrOG,Topping,Main-Lining,Defoliation,LST,",0.72,19,1.0,98.0,98.0
MEDEA,Medea Autoflowering,Caucasian Seeds,"LED / 100W Custom,","General Hydroponics (GHE),",Manual,,Paper Towel,,54.86,12,1.0,,468.0
Wild Thai,Wild Thailand,World Of Seeds,410 watt,"Gen1:11,Xpert Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,"LST,",0.25,15,1.0,,676.0
