diary_name,strain,strains_company,light_watt,nutrients,indoor,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
FastBuds Cherry Cola #2 (PP Replacement),Cherry Cola Auto,Fast Buds,300 watt,"BioBizz,Living Soils,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"Defoliation,LST,",,11,1,,1.06
Passion Fruit,Passion Fruit,Dutch Passion,150 watt,"Advanced Nutrients,CannaBioGen,",True,Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",,"Defoliation,LST,",5.27,14,1,,
Organic Blue Dream,Blue Dream Auto,Fast Buds,100 watt,,True,Manual,"Soil Grow Medium,",Glass Of Water,"Topping,LST,Defoliation,",,9,1,2.12,6.35
Sweet Zenzation XL AUTO 2,Sweet Zenzation XL Auto,Sweet Seeds,1300 watt,"Advanced Nutrients,Plant Success (Plant Revolution),Fox Farm,General Hydroponics (GHE),Green Planet Nutrients,",True,Manual,"Soil Grow Medium,",Glass Of Water,"LST,ScrOG,Defoliation,",645.83,10,1,,28.22
Sweet Zenzation XL Auto SS1,Sweet Zenzation XL Auto,Sweet Seeds,1300 watt,"Advanced Nutrients,Plant Success (Plant Revolution),Purpinator,Fox Farm,Terpinator,",True,Manual,"Soil Grow Medium,",Glass Of Water,"LST,ScrOG,Defoliation,",645.83,11,1,4.41,42.33
3M ҂ ѦϏѦ ϏαϦȫȫ᧗,La Reina de Africa AKA Kaboom,Kannabia Seed Company,100 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Coco Coir Grow Medium,Minerals Grow Medium,Humus Grow Medium,Bocashi Grow Medium,",Directly In Substrate,"Forced darkness,Last watering,Topping,LST,Activated Dry Amendments,Live dry amendments,Mulch activated,Untied branches,Defoliation,",0.86,13,1,1.48,4.94
Lemon Pie Fastbuds,Lemon Pie Auto,Fast Buds,330 watt,,True,Manual,"Coco Coir Grow Medium,",,,,10,1,,5.64
Two years later..These seeds still alive,Chemdawg,Humboldt Seed Company,,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Coco Coir Grow Medium,",,"ScrOG,Defoliation,LST,",,15,1,,
Gorilla Zkittlez,Gorilla Zkittlez Auto,Fast Buds,"LED / 0W X 465W PRO LED,LED / 0W X 465W PRO LED,","General Hydroponics (GHE),Humboldt Nutrients,",True,Manual,"AC Infinity Cloudlab 743D Advance Grow Tent 4x3 (48"" X 36"" X 72""),Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,",29.53,11,1,2.93,10.12
Sherbet Queen,Sherbet Queen Automatic,Royal Queen Seeds,300 watt,"RQS Organic Nutrients,",True,Manual,"Soil Grow Medium,",Paper Towel,"Topping,",1.61,12,1,,5.89
Seedsman Jack Herer Auto,Jack Herer Auto,Seedsman,100 watt,,True,Manual,"Soil Grow Medium,",Directly In Substrate,"Defoliation,Topping,LST,",,16,1,,
Summer GreenCrack,Green Crack Auto,Fast Buds,,"Platinium Hydroponics,Advanced Nutrients,Cellmax,Canna,BioBizz,",True,Manual,"Soil Grow Medium,Vermiculite Grow Medium,Expanded Clay Grow Medium,",Paper Towel,"Defoliation,",,11,1,0.67,3.14
Autoflower/Coco/organic,Cherry Pie,High Speed Buds,220 watt,"General Hydroponics (GHE),",True,Manual,"Coco Coir Grow Medium,",Other,"LST,Defoliation,",,11,1,,
Euforia,Auto Euforia,Dutch Passion,100 watt,"Guanokalong,PLAGRON.,Hesi,Canna,BioBizz,",True,Manual,"Coco Coir Grow Medium,Soil Grow Medium,Perlite Grow Medium,",,,,8,,,
Royal Runtz RQS,Royal Runtz,Royal Queen Seeds,100 watt,"Hesi,BioBizz,Bio Nova,Plant Success (Plant Revolution),",True,Drip,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",,"Topping,LST,Supercropping,Defoliation,",6.89,12,1,,1.98
"Bruce Banner #3 feminized, from MSNL",Bruce Banner Strain #3,MSNL,250 watt,"General Hydroponics (GHE),Botanicare,Fish Head Farms,Plant Success (Plant Revolution),House & Garden,",True,Manual,"Soil Grow Medium,",,"Defoliation,ScrOG,Leaf Tucking,LST,",2,17,1,6.14,6.14
Gorilla Punch Auto Fastbuds Strain,Gorilla Punch Auto,Fast Buds,300 watt,"Advanced Nutrients,PRO-MIX,Remo Nutrients,General Hydroponics (GHE),",True,Drip,"Perlite Grow Medium,Coco Coir Grow Medium,",Peat Pellet,"LST,Defoliation,ScrOG,",3.44,10,1,,
First Grow | Auto,Dos-Vi-Dos Auto,Custom Breeder & Strain,160 watt,,True,Manual,"Soil Grow Medium,",,,6.24,12,1,3.28,13.11
First mephisto run Pinot noir,Illuminauto #44 - Pinot Noir,Mephisto Genetics,300 watt,"BioBizz,Real Growers,Athena,",True,Manual,"CoolGrows GT 24x24x55,Soil Grow Medium,",Glass Of Water,"LST,",43.06,12,1,,
Gas Cake DWC Clone Jungle Boys,Gas Cake,Jungle Boys,450 watt,"Growth Technology,FloraFlex,General Hydroponics (GHE),",True,Hydroponics,,Other,"LST,Defoliation,super-cropping,",4,13,1,2.65,
Mars Hydro Growth #2,Lemon Cream Kush,Spliff Seeds,4080 watt,,True,Manual,"Soil Grow Medium,",,"Defoliation,",,13,1,,
Triple G (RQS),Triple G,Royal Queen Seeds,65 watt,"General Hydroponics (GHE),RQS Organic Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Easy Boost (Rqs) Grow Medium,",Paper Towel,"Topping,Defoliation,LST,",7.53,18,1,2.65,29.98
LSD&Watermelone&Strawberry/NDL/Barney´s,LSD-Feminsed,Barney'S Farm,500 watt,"Growth Technology,Technaflora,Advanced Nutrients,BioBizz,Terpinator,",True,Drip,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Directly In Substrate,"Defoliation,",12.92,13,12,2.42,27.82
Gelato Zkittlez Clone,Gelato Zkittlez,Custom Breeder & Strain,615 watt,"BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,Defoliation,",25.83,14,20,,
Apple Fritter by Silky,Apple Fritter,Zamnesia Seeds,240 watt,,True,Hydroponics,"Mineral Wool Grow Medium,",,"Defoliation,",4.84,13,1,,2.86
Frosted guava by Silky,Frosted Guava,Zamnesia Seeds,240 watt,,True,Hydroponics,"Mineral Wool Grow Medium,",,"Defoliation,LST,HST,",4.84,12,1,,2.68
Cherry Cola TEST 42FB/MARS HYDRO FC3000,Cherry Cola Auto,Fast Buds,300 watt,"Canna,PLAGRON.,",True,Manual,"Soil Grow Medium,",Paper Towel,"LST,",3.88,11,1,1.87,8.4
