diary_name,strain,strains_company,light_watt,nutrients,indoor,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
She’s bored again - more cupboard antics,Amnesia Haze Automatic,Zamnesia Seeds,300 watt,"BioBizz,",True,Manual,"Soil Grow Medium,",Paper Towel,"LST,Topping,",,10,1,,
"Blue Dream'matic Auto, Fast Buds",Blue Dream Auto,Fast Buds,,"Dr. Earth,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,Coco Coir Grow Medium,",Glass Of Water,,,10,1,0.25,
Wonder Pie GHSC,Wonder Pie,Green House Seed Co.,480 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,",,"LST,HST,Topping,Defoliation,",,10,,,
Critical Indoor 2022,Critical Cheese Autoflowering,Dinafem,200 watt,,True,Drip,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",,"Topping,",,11,,,
Cream Cookies Auto,Cream Cookies Auto,Fast Buds,150 watt,"Fox Farm,",True,Manual,"Soil Grow Medium,",,"LST,Topping,ScrOG,",265.75,14,1,,3.39
Girl Scout Cookies Auto NASC Freebie,Girl Scout Cookies - North Atlantic Seed Company,Custom Breeder & Strain,150 watt,"Fox Farm,",True,Manual,"Soil Grow Medium,",,"LST,HST,Topping,ScrOG,",9,14,1,,9.17
HULK MAD!!,Bruce Banner #3,Original Sensible Seeds,150 watt,"BioBizz,",True,Manual,"Soil Grow Medium,",,"ScrOG,LST,Topping,HST,Defoliation,",7.53,16,1,3.88,12.35
LSD-25 Auto 2nd time around,LSD-25 Auto,Fast Buds,300 watt,"Botanicare,Real Growers,Humboldts Secret,Fox Farm,",True,Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Soil Grow Medium,",Peat Pellet,"Tucking Leaves,LST,Defoliation,",52.49,12,1,,
"My first grow, wish me luck!",Auto Glueberry O.G.,Dutch Passion,240 watt,"BioBizz,",,,"BioBizz AllMix Grow Medium,",,,8.61,12,1,5.64,28.22
"RQS ""cookies gelato auto"" by daffie",Cookies Gelato Automatic,Royal Queen Seeds,200 watt,"RQS Organic Nutrients,BioBizz,",True,Manual,"Soil Grow Medium,",,,Custom,11,5,7.94,
Rqs sweet zz,Sweet ZZ,Royal Queen Seeds,450 watt,"Living Soils,Green House Feeding,",True,Manual,,Peat Pellet,"LST,",,9,,,
Dance world CBD,Dance World,Royal Queen Seeds,"LED / 100W Custom,","Top Crop,",True,Manual,,,"LST,",,15,,,31.75
ETHOS Zweet Auto R BX2,Zweet Auto R BX2,ETHOS Genetics,,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Paper Towel,"LST,",,12,1,2.12,2.12
First guerilla grow,Afghan Kush Auto,Fast Buds,,"Hesi,BioBizz,Advanced Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Defoliation,",,10,1,,2.47
Big bud fem,Big Bud,Seedstockers,"LED / 1000W 1000W,","Top Crop,",,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Other Grow Medium,",,"Topping,LST,Defoliation,",,8,,,
SF-1000 + P1000 Banana PP 2 dif phenos,Banana Purple Punch Auto,Fast Buds,100 watt,"Terra Power,Advanced Nutrients,BioBizz,",True,Manual,"Biobizz Light Mix Soil Grow Medium,Biobizz Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Topping,Defoliation,",21.53,11,2,7.05,31.75
RQS WW and Northern auto Guerilla,White Widow Automatic,Royal Queen Seeds,,,True,Drip,"Soil Grow Medium,",,,,12,14,,3.03
Auto Duck Dutch Passion,Auto Duck,Dutch Passion,,"BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Coco Coir Grow Medium,Premium potting soil Grow Medium,Soil Grow Medium,",Paper Towel,"Defoliation,Flushed,LST,",,13,1,0.88,
WW*BB VIPARSPECTRA XS2000 (GDG 13),Auto White Widow x Big Bud,Female Seeds,240 watt,"Shogun,Ecothrive,General Hydroponics (GHE),Advanced Nutrients,",True,Manual,"Gorilla Grow Tent GGT Shorty 2x2.5,Soil Grow Medium,",Paper Towel,"Defoliation,ScrOG,LST,",4.84,22,1,4.59,34.57
Organic Jack + White Widow -GHSC-SP300,Jack Herer,Green House Seed Co.,300 watt,"Green House Feeding,PLAGRON.,BioBizz,",True,Manual,"Soil Grow Medium,Coco Coir Grow Medium,",,"Defoliation,organic,",4.2,14,3,,
Sweet Gelato Auto,Sweet Gelato Auto®,Sweet Seeds,120 watt,,True,Manual,"Soil Grow Medium,Vermiculite Grow Medium,Lava Grow Medium,Bokashi Grow Medium,",,"Defoliation,FIMing,",,10,1,,3.88
Organic trio try-out,Purple Lemonade Auto,Fast Buds,,,True,Manual,"Soil Grow Medium,Manure Grow Medium,Compost Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,Nettles dried and grinded. Grow Medium,Ash Grow Medium,",,"LST,12-12 From Seed,HST,Main-Lining,",,12,,,
3wok OG - Mephisto,3wok OG,Mephisto Genetics,300 watt,"Canna,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,Defoliation,",,12,2,8.57,
Runtz(Auto) upon a time in a kitchen,Runtz Auto,Zamnesia Seeds,100 watt,"Hesi,BioBizz,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"Defoliation,",3.88,11,1,,6.1
Gold Sativa Quebec Seeds DWC,Gold Sativa,Quebec Cannabis Seeds QCS,480 watt,"Blue Planet Nutrients,",True,Hydroponics,"Water Grow Medium,",Glass Of Water,"Topping,LST,Root pruning,Defoliation,",54,17,1,3.45,14.11
Round Two,Sweet Cheese XL Auto,Sweet Seeds,"LED / 400W P4000,","Dr. Earth,Aurora Innovations (Roots Organics),Espoma,",True,Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,",,11,2,,0.81
First Run,Gelato,Blimburn Seeds,310 watt,"Canna,Ozi Magic Grow Juice,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,worm castings Grow Medium,Compost Grow Medium,Clay Pebbles Grow Medium,",Directly In Substrate,"Tucking,FIMing,LST,ScrOG,Defoliation,",8.72,9,1,1.27,7.05
ROYAL CHEESE AUTO RQS,Royal Cheese Automatic,Royal Queen Seeds,100 watt,"PLAGRON.,Atami,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,",,11,,1.73,
Afghan Skunk,Afghan Skunk,Advanced Seeds,,,,Hydroponics,,,,,10,,,5.29
Choco Kush Autoflower,Choco Kush Autoflower,Amsterdam Genetics,,"PLAGRON.,Bio Tabs,Canna,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,Topping,Defoliation,",,15,1,1.76,10.58
banana 33,Banana MAC,Anesia Seeds,200 watt,"PLAGRON.,Advanced Nutrients,Canna,",True,Manual,"light mix atami Grow Medium,",,"ScrOG,Main-Lining,Topping,Defoliation,HST,LST,",6.46,15,1,,42.33
Gelato clones 1 more time,Malasana Gelato,Exotic Seed,650 watt,"Canna,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Reused coco Grow Medium,",,"Defoliation,LST,SoG,",11.84,17,25,,57.85
C B D,Fast Eddy Automatic CBD,Royal Queen Seeds,,,True,Manual,,,,,12,1,,
Mixed sweetness,Mimosa Evo,Barney'S Farm,"LED / 800W Custom,LED / 800W Custom,","Advanced Nutrients,Xtreme Gardening,Grotek,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"ScrOG,LST,Topping,Defoliation,",,FLOWERING,,,
Candy's Clones,Northern Lights (fem),ILGM,200 watt,"Element Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"ScrOG,Topping,Main-Lining,HST,Defoliation,LST,",40,19,2,6.28,33.23
Chunkadelic Auto,Chunkadelic Autoflower,Humboldt Seed Company,250 watt,"General Hydroponics (GHE),Real Growers,",True,Manual,"AC Infinity Cloudlab 632 Advance Grow Tent 36” X 20” X 62”,Coco Coir Grow Medium,Perlite Grow Medium,",,"LST,Defoliation,",,12,2,11,11
Think different auto,Think Different,Dutch Passion,150 watt,,True,Manual,"Hydro Crunch Grow Room Tent 2x 2x 5,Soil Grow Medium,",Paper Towel,"LST,",,10,1,,3.25
Raspberry Boogie S1 - Mosca Seeds,Raspberry Boogie,Mosca Seeds,1200 watt,"Fox Farm,Fish Head Farms,General Hydroponics (GHE),Aurora Innovations (Roots Organics),Real Growers,",True,Manual,"Gorilla Grow Tent GGT 5x5,Soil Grow Medium,",Directly In Substrate,"12-12 From Seed,ScrOG,Topping,Defoliation,",53.81,17,2,,30
Afghani - The OG Indica,Afghan,MSNL,250 watt,"Fox Farm,Jobe's Organics,General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,",Glass Of Water,,,17,,4.25,
OG Kush Auto,Auto OG Kush,BulkSeedBank,"LED / 480W FC-E 4800,","General Hydroponics (GHE),Advanced Nutrients,Terpinator,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Coco Coir Grow Medium,Other Grow Medium,",Paper Towel,"LST,Defoliation,",1076.39,11,2,5.34,
Lemon auto,Auto Lemon,Seedsman,"LED / 1500W King X5 Dimmable 1500W,",,,Manual,"Soil Grow Medium,Soil Grow Medium,",,,,8,,,
Outdoor grow Bubblegum Autoflower,Bubblegum Auto,Keraseeds,,"Hy-Pro,FloraFlex,",True,Manual,"Soil Grow Medium,",Paper Towel,,,5,1,0.88,0.86
Critical kush under 150 Watts,Critical Kush,Barney'S Farm,150 watt,"BioBizz,",True,Manual,"Lehká směs Biobizz Grow Medium,",Paper Towel,"LST,Topping,Defoliation,",,13,5,,30.23
Two years old seed,Honey Peach Auto CBD®,Sweet Seeds,,"BioBizz,Advanced Nutrients,",True,Manual,"Soil Grow Medium,",Peat Pellet,"LST,",,12,1,,2.22
FruitySourStrainMix,Sour Ripper,Ripper Seeds,1400 watt,"Advanced Nutrients,BioBizz,",True,Manual,,,"ScrOG,Defoliation,LST,HST,Topping,",16.15,19,1,,58.2
Gorilla punch Auto,Gorilla Punch Auto,Fast Buds,100 watt,"Terra Power,",True,Manual,"Biobizz Light Mix Soil Grow Medium,Biobizz Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,Defoliation,LST,",21.53,10,1,2.48,14.11
Green gelato auto RQS,Green Gelato Automatic,Royal Queen Seeds,300 watt,"RQS Organic Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",Peat Pellet,,10.76,9,1,,3.67
Banana purple punch,Banana Purple Punch Auto,Fast Buds,400 watt,"Skunkwerks Rx,General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,",Glass Of Water,"Topping,",13.12,9,1,,
