diary_name,strain,strains_company,light_watt,nutrients,indoor,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
Strawberry banana Dream,Strawberry Banana Auto,Fast Buds,400 watt,"Skunkwerks Rx,General Hydroponics (GHE),",True,Manual,,Glass Of Water,"Topping,",13.12,9,1,,
Purple lemonade,Purple Lemonade Auto,Fast Buds,400 watt,"Skunkwerks Rx,General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,",Glass Of Water,"Topping,",13.12,9,1,,
Wedding Cheesecake auto FastBuds,Wedding Cheesecake Auto,Fast Buds,200 watt,"PLAGRON.,BioBizz,Atami,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",Peat Pellet,"LST,",,8,,8.82,
First Grow - CBD Chronic,CBD-Chronic,Serious Seeds,400 watt,"Advanced Nutrients,BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Flushing,Topping,LST,Defoliation,",3.23,15,1,,14.85
Quebec Blast Quebec Seeds DWC,Quebec Blast,Quebec Cannabis Seeds QCS,480 watt,"Blue Planet Nutrients,",True,Hydroponics,"Water Grow Medium,",Glass Of Water,"Topping,LST,Root pruning,Defoliation,",54,17,1,2.66,14.11
Strawberry Gorilla Auto,Strawberry Gorilla Auto,Fast Buds,,"Fox Farm,Coast of Maine,",True,Manual,"Fox farm ocean forest Grow Medium,Pro mix organic Grow Medium,Earth worm castings Grow Medium,",Glass Of Water,"LST,Defoliation,",13.12,8,1,2.5,4.9
Super Skunk auto AMS 2nd try DWC,Super Skunk Auto,Amsterdam Marijuana Seeds AMS,300 watt,"Blue Planet Nutrients,",True,Hydroponics,"Clay pebbles Grow Medium,Water Grow Medium,",Glass Of Water,"Defoliation,Root pruning,LST,",23.79,12,1,2.45,14.11
MARS HYDRO FC-E 3000 Peyote Zkitlez,Peyote Zkittlez,Seedsman,540 watt,"BIOCANNA,Aptus,General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Other Grow Medium,",Glass Of Water,"Topping,LST,Defoliation,",3.23,18,1,,65.33
First Fem-Auto Grow-Tangerine Dream,Seed Fair - Tangerine dream Fem-Auto,Custom Breeder & Strain,150 watt,"Fox Farm,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"Defoliation,Temperature Stress,",Custom,9,1,,1.91
MARS HYDRO FC-E 3000 MIMOSA X ORANGE,Mimosa x Orange Punch,Barney'S Farm,300 watt,"Aptus,BIOCANNA,",True,Manual,"Perlite Grow Medium,Soil Grow Medium,Other Grow Medium,Other Grow Medium,",Glass Of Water,"ScrOG,",4.31,9,2,,51.15
Summer Outdoor 2022- Girl Scout Cookies,Girls Scout Cookies,The Cali Connection,,"Superthrive,Real Growers,Fox Farm,Advanced Nutrients,Earth Juice,",True,Manual,"Soil Grow Medium,",Paper Towel,,,8,1,,
Northern Lights c/o KIZ,Northern Lights,Custom Breeder & Strain,300 watt,"Canna,Shogun,",True,Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Coco Coir Grow Medium,Perlite Grow Medium,Other Grow Medium,",Paper Towel,"Main-Lining,HST,LST,ScrOG,Topping,Defoliation,",26.25,17,1,,5.64
Season 2,Slurricane IX,In House Genetics,"LED / 300W Mars TSL 2000,LED / 60W (×2) Custom,",,True,,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Other Grow Medium,",,"Topping,LST,",Custom,14,2,,
Grandpa by Original Sensible Seeds,Grandaddy Black,Original Sensible Seeds,1100 watt,"BioBizz,",True,Drip,"Soil Grow Medium,",Directly In Substrate,"twisting the root and stem in a spiral,Defoliation,LST,",30.14,17,1,,23.63
L.A Kush Cake,L.A Kush cake,Custom Breeder & Strain,440 watt,"Hesi,Atami,",True,Manual,"Soil Grow Medium,",,,968.75,13,8,,45.86
4 FastBuds Run,Gorilla Cookies Auto,Fast Buds,298 watt,"Down To Earth,Foop Organic Biosciences,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Wiggle Worm Castings Grow Medium,",Directly In Substrate,"Defoliation,LST,",26.25,11,2,1.38,
Triple G - RQS,Triple G,Royal Queen Seeds,300 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"ScrOG,Topping,LST,",3.44,17,1,5.29,
Cookies Gelato - RQS Contest,Cookies Gelato,Royal Queen Seeds,300 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,LST,",3.44,17,1,8.11,
Sweet tooth auto,Sweet Tooth Auto,Canuk Seeds,450 watt,"General Hydroponics (GHE),Advanced Nutrients,",True,Manual,"Coco Coir Grow Medium,",Directly In Substrate,"Topping,LST,Defoliation,",Mammoth Tents,11,1,,4.59
Indoor OG Kush,OG Kush (fem),ILGM,240 watt,"Bloom City Organics,J.R. Peters, Inc.,General Hydroponics (GHE),Xtreme Gardening,",,,"Soil Grow Medium,",,"Defoliation,ScrOG,HST,Topping,",16.4,18,3,4.73,4.73
Blue Dream Auto (1st Attempt),Blue Dream Autoflower,ILGM,200 watt,"Nature's Living Soil,Fox Farm,BuildASoil,",True,Manual,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",26.25,8,2,,4
Bonsai of Amnesia Haze Automatic,Amnesia Haze Automatic,Royal Queen Seeds,,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",,11,1,0.32,0.42
Bonsai of Royal Jack Automatic,Royal Jack Automatic,Royal Queen Seeds,,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",,11,1,0.18,0.28
Eva Seeds 2,Furious Candy,Eva Seeds,465 watt,"BioBizz,Atami,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Directly In Substrate,"Topping,",10.76,9,3,,7.05
Ehecatl,Kosher Haze,Super Sativa Seed Club,,,True,Manual,"Soil Grow Medium,",,,,9,3,,
PC Grow 1st Grow,Northern Lights Auto,Seedsman,60 watt,"General Hydroponics (GHE),Fish Head Farms,",True,Hydroponics,"Expanded Clay Grow Medium,Mineral Wool Grow Medium,",,"LST,",21.52,15,1,,
North thunderfuck auto outdoor 2022,North Thunderfuck Automatic,Royal Queen Seeds,,"BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,Defoliation,",,12,1,,4.66
Northern light 2022 outdoor,Northern Light Automatic,Royal Queen Seeds,,"BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Defoliation,LST,Topping,",,16,1,4.23,9.95
First indoor grow Motorbreath and GG4,GG4,Custom Breeder & Strain,200 watt,"Neptune's Harvest,Down To Earth,",True,Manual,"Fox farm Grow Medium,Pro Mix BK25 Grow Medium,",,"Defoliation,Topping,LST,",,25,1,,2.15
Star Spangled Banner,Star Spangled Banner 3,Night Owl Seeds,640 watt,"Fox Farm,Fish Head Farms,Advanced Nutrients,Terpinator,",True,Manual,"Promix HP Grow Medium,",,"LST,Defoliation,",Apollo Horticulture,13,2,,
My first time & outdoor ! I need help,Northern Light Automatic,Royal Queen Seeds,,,True,Manual,"Soil Grow Medium,",,,,13,1,,
Euphoria,Euphoria,Royal Queen Seeds,190 watt,"Advanced Nutrients,",True,Manual,"Gorilla Grow Tent GGT 2x2.5,Soil Grow Medium,Perlite Grow Medium,",,"Topping,Defoliation,",,13,1,3.88,
No Till Fat Banana,Fat Banana Automatic,Royal Queen Seeds,600 watt,,True,Manual,"Peat Moss Grow Medium,Pumice Grow Medium,Rice Hulls Grow Medium,Worm Castings Grow Medium,Compost Grow Medium,Biochar Grow Medium,Kelp Meal Grow Medium,Neem Cake Grow Medium,Milled Malted Barley Grow Medium,Basal Meal Grow Medium,Gypsum Dust Grow Medium,Oyster Shell Flour Grow Medium,Kashi Blend Grow Medium,",Paper Towel,"Defoliation,Topping,",,9,4,,
[CBG] Auto CBG-Force,Auto CBG-Force,Dutch Passion,,"Advanced Nutrients,BioBizz,Guanokalong,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"LST,Defoliation,",,9,3,,
[CBDV] Auto CBD-Victory,Auto CBD-Victory,Dutch Passion,,"Advanced Nutrients,BioBizz,Guanokalong,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"LST,Defoliation,",,9,3,,
Secret Kush Mints,Surfr - Secret Cookie x Kush Mints F2,Custom Breeder & Strain,200 watt,"Blue Planet Nutrients,",True,Manual,"Coco Loco Grow Medium,",Glass Of Water,"LST,SoG,Topping,Defoliation,",Custom,7,4,,
RQS N Light Auto Balcony Outdoor Grow,Northern Light Automatic,Royal Queen Seeds,,"BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,LST,Defoliation,",,11,1,0.35,
FastBuds: Gorilla Punch Auto-Gelato Auto,Gorilla Punch Auto,Fast Buds,165 watt,"BIOCANNA,",True,Manual,"Soil Grow Medium,Expanded Clay Grow Medium,",Rockwool Cube,"Defoliation,",6.89,11,2,2.61,12.38
Auto Slurricane THGROW,Auto Slurricane,Advanced Seeds,,"Hesi,",True,Manual,,Glass Of Water,,,8,1,,0.88
Bruce Banner Auto,Bruce Banner Auto,Fast Buds,,,True,Manual,"Soil Grow Medium,",Paper Towel,,,14,3,4.97,4.97
Fastbuds gang SS2,Banana Purple Punch Auto,Fast Buds,,"Emerald Harvest,",True,Manual,"T-rex super soil 22L Grow Medium,",Paper Towel,"LST,Defoliation,",Custom,10,2,,3.22
FIRST GROW: Gorilla Cookies,Gorilla Cookies Auto,Fast Buds,300 watt,"Advanced Nutrients,Botanicare,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,Vermiculite Grow Medium,Other Grow Medium,",Glass Of Water,"Defoliation,LST,lollypopping,",68.89,10,4,4.94,32.8
Mafia's AK 48,AK 48,Seeds Mafia,120 watt,"PLAGRON.,Atami,Advanced Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,LST,",3.23,12,1,0.95,3.35
Mafia's Orange Bud,Orange Bud,Seeds Mafia,120 watt,"PLAGRON.,Atami,Advanced Nutrients,Canna,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,LST,",3.23,12,1,2.13,6
First Grow Ever,lemon haze,Custom Breeder & Strain,140 watt,"BioBizz,",True,Manual,"Soil Grow Medium,",,"LST,Defoliation,",2.15,11,1,,4.23
First Grow; Blueberry Auto - NASC,Blueberry Auto,Custom Breeder & Strain,600 watt,"Foop Organic Biosciences,",True,Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Soil Grow Medium,",Glass Of Water,"LST,",13.12,14,1,,
Mushy,Sherbet Queen,Royal Queen Seeds,,"PLAGRON.,BioBizz,",True,Manual,,,,,15,,,
Blue Dream Extreme DWC,Blue Dream Xtrm,Amsterdam Marijuana Seeds AMS,480 watt,"Blue Planet Nutrients,",True,Hydroponics,"Water Grow Medium,",Glass Of Water,"Root pruning,Topping,LST,Defoliation,",16.46,17,1,4,14.11
Apple Fritter AMS DWC,Apple Fritter,Amsterdam Marijuana Seeds AMS,480 watt,"Blue Planet Nutrients,",True,Hydroponics,"Water Grow Medium,",Glass Of Water,"Topping,LST,Root pruning,Defoliation,",54,17,1,2.99,12.35
Fastbuds New autos,Orange Sherbet Auto,Fast Buds,,"Superthrive,Fox Farm,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"Pinch,LST,Tuck,",,10,2,,15.87
First White Widow Grow,Simba Seeds (President Seeds) - White Widow Feminized,Custom Breeder & Strain,100 watt,"Biodyne,General Hydroponics (GHE),Atami,",True,Hydroponics,"Leca Grow Medium,Soil Grow Medium,",,"ScrOG,Defoliation,Main-Lining,Topping,LST,",3.88,17,1,,1.89
Purple Punch,Purple Punch,Barney'S Farm,100 watt,"Fox Farm,",True,Manual,"Soil Grow Medium,",Glass Of Water,"Defoliation,FIMing,Topping,LST,",25,17,1,5,5
Seedsmans Lemon Autoflower Organic Grow,Auto Lemon,Seedsman,220 watt,"Down To Earth,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Worm casting Grow Medium,",Paper Towel,"FIMing,Defoliation,LST,HST,Topping,",Custom,10,,,0.71
Seedsman - Purple Haze Auto Ltd,Seedsman - Purple Haze Auto,Custom Breeder & Strain,240 watt,,True,Manual,"CoolGrows GT 96x48x80,Soil Grow Medium,",Peat Pellet,"12-12 From Seed,LST,",,10,1,2.82,
First run in decades,Bruce Banner,ILGM,600 watt,"Down To Earth,Hy-Pro,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Worm castings Grow Medium,compost/manure Grow Medium,azomote Grow Medium,organic 4-8-4 Grow Medium,",,"Topping,LST,",Custom,10,1,,
Star Spangled Banner 3,Star Spangled Banner 3,Night Owl Seeds,150 watt,"BioBizz,",True,Manual,"Soil Grow Medium,Worm castings Grow Medium,Rice husks Grow Medium,Dolomite Lime Grow Medium,Diatomaceous earth Grow Medium,Mycorrhizae Grow Medium,",Directly In Substrate,"FIMing,LST,",6.46,13,1,3.95,
Masonic Wilato,Wilato - Masonic seeds,Custom Breeder & Strain,,,True,Manual,,Other,"Defoliation,SoG,Topping,",,24,,,
FB Test FBT2208 / ViparSpectra P2000,FBT2208,Fast Buds,200 watt,"Bloom City Organics,Foop Organic Biosciences,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,",8,13,1,,5.9
4 Trees Outdoor 2022,JTG,Custom Breeder & Strain,,,True,,"Soil Grow Medium,",,,,4,4,,10
Gorilla zkittle auto x Charly Grower,Gorilla Zkittlez Auto,Fast Buds,180 watt,"Top Crop,PLAGRON.,",True,Manual,"Soil Grow Medium,",,"Defoliation,",861.11,8,1,,2.23
Royal Queen Seeds Autoflowers run,Fat Banana Automatic,Royal Queen Seeds,200 watt,"Platinium Hydroponics,Atami,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"lollipopping,Lollipoping,Skankhunting,LST,Defoliation,",7.75,10,3,6.54,
Iced Gushers Auto,Iced Gushers Auto,Roc Bud Inc Genetics,650 watt,"FloraFlex,South Cascade Organics,",,Manual,"Soil Grow Medium,Coco Coir Grow Medium,",,,,11,1,,4
Ganja famer seed,Ganja Runtz Auto,Ganja Farmer Seeds,480 watt,"Hesi,Atami,",True,Manual,"Soil Grow Medium,",Paper Towel,"ScrOG,",,8,,,
Strawberry cheesecake V2 & MOB Cookies,Strawberry Cheesecake Auto Fem,207 Genetics,425 watt,"Green Planet Nutrients,General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,Coco Coir Grow Medium,",Directly In Substrate,,29.53,12,3,4,36
2 Gallon mini Auto in 2x2x4,Orange Sherbet Auto,Fast Buds,"LED / 100W Mars TS 600,","Botanicare,Grotek,Advanced Nutrients,Gaia Green,",True,Manual,"Soil Grow Medium,",Paper Towel,"ScrOG,Defoliation,",,15,1,,5.6
White widow SOG,White Widow,Divine Seeds,640 watt,"Canna,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Reused coco Grow Medium,",,"Defoliation,SoG,LST,",12.92,16,25,,66.95
AUTO BLUE DREAM Dutch Headshop Seeds,Auto Blue Dream,Dutch-Headshop Seeds,740 watt,"Green House Feeding,",True,Manual,"Soil Grow Medium,",,"LST,Defoliation,",10.76,9,,,
Sour diesel ️‍,Sour Diesel,Seedstockers,"LED / 720W Custom,",,True,Manual,"Perlite Grow Medium,Vermiculite Grow Medium,Soil Grow Medium,Coco Coir Grow Medium,",Paper Towel,"LST,Topping,HST,FIMing,Defoliation,",,13,,,
Banana Daddy - auto ethos,Banana Daddy Auto R BX2,ETHOS Genetics,720 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",,"LST,Topping,FIMing,HST,Defoliation,",,13,,,
Wedding glue - fastbuds,Wedding Glue Auto,Fast Buds,720 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",,"LST,FIMing,Topping,",,13,,,
Bleuberry,Blueberry Automatic,Zamnesia Seeds,,"Canna,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,,,8,1,,
Trichome Jungle Seeds Testers,Trichome Jungle Seeds - Tester R,Custom Breeder & Strain,500 watt,"Monkey Nutrients,",True,Manual,"Coco Coir Grow Medium,Clay Pebbles Grow Medium,",Paper Towel,"HST,LST,Defoliation,Topping,ScrOG,",12.92,18,4,8.13,
