diary_name,strain,strains_company,light_watt,nutrients,indoor,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
Banana Daddy R1 / Organic soil growing,Banana Daddy R1,ETHOS Genetics,300 watt,"Bio Tabs,General Hydroponics (GHE),PLAGRON.,Canna,Green Buzz Nutrients,",True,Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Main-Lining,LST,Defoliation,",6.89,15,2,7.41,
Devil Cream auto take 2,Devil Cream Auto®,Sweet Seeds,480 watt,"General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,,,11,1,2.04,
Blue Dream Sherbet Growerschoice.nl,Blue dream sherbet,Growers Choice,300 watt,,True,Drip,"Coco Coir Grow Medium,Perlite Grow Medium,",Glass Of Water,"Defoliation,ScrOG,Topping,LST,HST,",14.53,17,2,17,
Green Gelato Auto My first plant indoor,Green Gelato Automatic,Royal Queen Seeds,480 watt,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,",Paper Towel,"LST,ScrOG,Defoliation,",6.46,14,3,,7.05
Fuel D. OG,Fuel DOG,Seedsman,100 watt,"Fox Farm,Earth Juice,",True,Manual,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,Topping,",13.12,17,1,0.88,3.53
Gooey,LSD-25 Auto,Fast Buds,400 watt,,True,Manual,"Promix Grow Medium,",,,26.25,9,1,,3
Hulk x Lemon Skunk Breed Bros,Hulk x Lemon Skunk,Custom Breeder & Strain,300 watt,"Canna,",True,Manual,,Paper Towel,,Custom,14,,,
Mandarin Zkittlez x LemonSkunk BreedBros,Mandarin Zkittlez,Custom Breeder & Strain,300 watt,"Canna,BioBizz,Superthrive,",True,Manual,"Soil Grow Medium,",,,Custom,15,,,
OG Lemoniada Breed Bros,OG Lemoniada Breed Bros,Custom Breeder & Strain,300 watt,"Canna,",True,Manual,"Soil Grow Medium,",,,Custom,14,,,
Blackberry,Blackberry Auto,Fast Buds,150 watt,"BioBizz,",True,Manual,"Soil Grow Medium,",,"LST,",Custom,10,1,,0.92
Forbidden Runtz,Forbidden Runtz Auto,Fast Buds,400 watt,"Humboldts Secret,Fish Head Farms,Athena,",True,Manual,"Soil Grow Medium,Compost Grow Medium,Expanded Clay Grow Medium,",Peat Pellet,"Topping,LST,Defoliation,",,8,1,,3.5
London Mint Cake,London Mint Cake,T.H.Seeds,"LED / 100W VS1000,LED / 100W VS1000E,","Fox Farm,General Hydroponics (GHE),Real Growers,",True,Manual,"Coco Coir Grow Medium,",,"ScrOG,Kushman cyropractics,LST,Main-Lining,Topping,Defoliation,",Custom,15,1,2.5,71
Zkittles,Zkittlez Auto,Fast Buds,300 watt,"Shogun,",True,Manual,,Directly In Substrate,"Defoliation,",8.61,10,3,,9.91
Another auto mix,Gorilla Girl XL Auto,Sweet Seeds,400 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,Topping,FIMing,ScrOG,",Custom,6,,,
Super Jamaican Pearl Skunk photoperiod,Super Skunk,Sensi Seeds,"LED / 150W Custom,","BioBizz,",True,,"Soil Grow Medium,Coco Coir Grow Medium,",,"Topping,LST,Defoliation,",,FLOWERING,,,
Fast Purple Punch Buds,Purple Punch Auto,Fast Buds,270 watt,"Hesi,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,Defoliation,",10.76,11,4,2.26,12.77
Gorilla Cookies | Fast Buds,Gorilla Cookies Auto,Fast Buds,150 watt,"Growth Technology,Canna,Advanced Nutrients,Grotek,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,Topping,",,10,1,,0.42
Auto Nova OG,Auto Nova OG,Anesia Seeds,100 watt,"BioBizz,",True,Manual,"Biobizz All-Mix Grow Medium,",,"HST,Topping,LST,",10.76,9,1,3.53,3.53
#002 RQS Quick One & Northern Light Auto,Quick One,Royal Queen Seeds,900 watt,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",6.89,11,2,,23
Anastesia #1 Purple sunset,AK-47 x Auto Gagarin x Auto Blueberry,Custom Breeder & Strain,260 watt,"Guanokalong,General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,",Directly In Substrate,"HST,LST,Defoliation,",10.23,12,1,,19.4
Fruity pebbles by Silky,Fruity Pebbles feminized seeds,Weedseedsexpress,240 watt,,True,Manual,"Soil Grow Medium,",,"HST,LST,Defoliation,",4.31,15,1,,1.23
Forgotten Strawberries,Forgotten Strawberries,Mephisto Genetics,640 watt,"Fox Farm,Fish Head Farms,Advanced Nutrients,",True,,"Promix HP-CC Grow Medium,",,"LST,Defoliation,",52.49,13,1,1.36,
Purple OG Punch Is Here!,Purple OG Punch,Ganja Farmer Seeds,,"Fox Farm,Mammoth Microbes,Advanced Nutrients,Earth Juice,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,Defoliation,",13.12,17,1,7.3,37.5
Diary N°1,Afghan Hash Plant Regular,Barney'S Farm,150 watt,"BioBizz,Growth Technology,",True,Manual,"Plagron Batmix Grow Medium,Torba Bionda Grow Medium,",Peat Pellet,"Personale,LST,Method Personal,Defoliation,Personalizzato Metodo,FIMing,HST,Personal,Custom Method,Topping,Personal Techniques,Personal Method,",9.69,16,2,,
Pyramid seeds,Kukulkan,Pyramid Seeds,,"Advanced Nutrients,General Hydroponics (GHE),",True,Manual,,,"ScrOG,LST,",Custom,12,,,
Northen light autofloraison RQS,Northern Light Automatic,Royal Queen Seeds,200 watt,"BioBizz,RQS Organic Nutrients,",True,Manual,"Coco Coir Grow Medium,",Peat Pellet,"LST,Defoliation,",8.72,11,3,4.16,11.01
tiny and rare pot RQS / Mars Hydro,Diesel Automatic,Royal Queen Seeds,100 watt,"RQS Organic Nutrients,",True,Manual,"Soil Grow Medium,",,,,8,1,,3.35
from czech with ganja :D,Shining Silver Haze,Royal Queen Seeds,310 watt,"BioBizz,Grotek,",True,Manual,"Phantom Growtents Phantom Regular 80,Soil Grow Medium,",,"LST,Topping,Main-Lining,Defoliation,",6.89,15,1,,22.5
5) FastBuds / Green Crack Auto - 2nd Try,Green Crack Auto,Fast Buds,95 watt,"General Hydroponics (GHE),",True,Manual,"CoolGrows GT 24x24x36,Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Defoliation,ScrOG,LST,",4,16,1,6.56,
LSD25 Autoflower,LSD-25 Auto,Fast Buds,150 watt,,True,Manual,"Soil Grow Medium,",,,49.21,11,1,,3.88
Purpetual Punch (P/R/T),Appalachian Genetics- Purpetual Punch F1,Custom Breeder & Strain,600 watt,"NPK Industries,Aurora Innovations (Roots Organics),Fish Head Farms,",True,Manual,"AC Infinity Cloudlab 866 Advance Grow Tent 5x5 (60"" X 60"" X 80""),ProMix BX Grow Medium,",,"Kushman Supercropping,LST,Defoliation,Topping,",82.02,18,1,3.5,4.1
AMNEZI ZKITTLEZ,Amnesia Zkittlez Auto,Fast Buds,,"Advanced Nutrients,Canna,PLAGRON.,",True,,,,"Defoliation,",,12,1,,19.4
BF-Shiskaberry clone grow (640w LED),ShiskaBerry,Barney'S Farm,600 watt,"Greenleaf Nutrients,Green Planet Nutrients,",True,Hydroponics,"Gorilla Grow Tent GGT 4x4,Expanded Clay Grow Medium,",,"ScrOG,Scarecrow,Topping,",13.12,7,9,,97.96
Runtz Auto,Runtz Auto,Barney'S Farm,300 watt,,True,Manual,"Soil Grow Medium,",Directly In Substrate,"LST,Defoliation,",,10,,5.25,
Banana Sherbert,Banana Sherbet,Original Sensible Seeds,450 watt,"Growth Technology,Technaflora,Botanicare,",True,Hydroponics,"Expanded Clay Grow Medium,",,"LST,Topping,",48,12,4,,
Hydro Super Lemon Haze,Super Lemon Haze,Green House Seed Co.,680 watt,"General Hydroponics (GHE),Advanced Nutrients,PLAGRON.,",True,Hydroponics,"Expanded Clay Grow Medium,",Paper Towel,"HST,SoG,ScrOG,LST,Topping,Defoliation,",,13,,,
Northern Lights Auto FG,Northern Lights Auto,Custom Breeder & Strain,1000 watt,"Miracle-Gro,",True,Manual,"Soil Grow Medium,",,"LST,Defoliation,HST,Topping,",,10,3,,4.02
Gelato Olandese Autofiorenti outdoor ita,Gelato #41 Olandese,Dutchfem,,,True,Manual,"Terreno del giardino con aggiunta di light mix Grow Medium,",,,,9,8,,15.94
Rookie grow,Big Bud,Seedstockers,200 watt,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",,"Topping,LST,Defoliation,",21.53,18,2,4.37,
Dutchfem strains in Italy indoor,Gorilla Glue XL,Dutchfem,,,True,,"Soil Grow Medium,",,,,FLOWERING,,,
Darkdevil Auto,Dark Devil Auto®,Sweet Seeds,"LED / 100W SF-1000,","Mills Nutrients,",True,Drip,"Soil Grow Medium,",Paper Towel,"Defoliation,LST,Topping,",8.5,9,1,2.54,7.58
FastBuds - Forbidden Runtz,Forbidden Runtz Auto,Fast Buds,200 watt,"Foop Organic Biosciences,Bloom City Organics,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,",26.25,12,1,,7.18
Purple.OG.Punch,Purple OG Punch,Super Sativa Seed Club,300 watt,"Advanced Nutrients,Terpinator,",True,Manual,"Soil Grow Medium,",Glass Of Water,"Topping,",7.75,13,4,7.55,
Gorilla Cookies Auto,Gorilla Cookies Auto,Fast Buds,95 watt,"Hesi,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Defoliation,",3.77,10,1,2.17,
Afghan Kush Auto in 3x3 Tent,Afghan Auto,Custom Breeder & Strain,150 watt,"Gaia Green,",True,Manual,"BloomGrow GT 32''X32''X63'',Soil Grow Medium,",Directly In Substrate,"Defoliation,",13.12,16,1,3,
Blue Chesse Automatic,Blue Cheese Automatic,Royal Queen Seeds,95 watt,"BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"Spülen,Topping,LST,Defoliation,",3.44,11,2,5.11,27.51
"Ghetto growing,From the bottom to theTop",Mimosa x Orange Punch,Barney'S Farm,250 watt,"Gaia Green,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,"Defoliation,HST,Topping,FIMing,LST,",52.49,17,5,2,48
Og haze,Lemon OG Haze Auto,Nirvana,,"Green House Feeding,",True,Manual,"Soil Grow Medium,",Glass Of Water,"Defoliation,",,11,1,,1.31
Cookies Gelato,Cookies Gelato,Royal Queen Seeds,100 watt,"BioBizz,",True,Manual,"coco Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Topping,Defoliation,",3.88,14,5,,
How does it look????,Seed supreme Amnesia haze,Custom Breeder & Strain,2000 watt,,True,,"Soil Grow Medium,Coco Coir Grow Medium,",,,,6,,,
Strawberry Cheesecake de Seedsman,Strawberry Cheesecake Auto,Seedsman,150 watt,,True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"Defoliation,",Custom,13,,3.56,
Cookies Gelato,Cookies Gelato,Royal Queen Seeds,200 watt,"Canna,Growth Technology,BioBizz,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Glass Of Water,"ScrOG,Sticks,Defoliation,Topping,LST,",8.2,18,4,8.11,
Fast Buds diary,Purple Lemonade Auto,Fast Buds,480 watt,"Advanced Nutrients,BioBizz,",True,Manual,"Plagron batmix Grow Medium,",Glass Of Water,"12-12 From Seed,",2.69,10,1,,
Grandaddy purple auto GOG,Grandaddy purple aut,Custom Breeder & Strain,1090 watt,"Dr. Earth,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Other Grow Medium,",Directly In Substrate,"LST,Defoliation,",8,11,1,1.72,
Fast buds,Orange Sherbet Auto,Fast Buds,400 watt,,True,Manual,,,,,12,4,8.82,
PURPLE PUNC AUTO,Purple Punch Auto,Fast Buds,,"Advanced Nutrients,Canna,PLAGRON.,",True,,,,"Defoliation,",,11,1,,13.4
Critical 2.0 auto seedsman freebie,Blue Dream Auto,Garden Of Green,250 watt,,True,Manual,"Black Gold Grow Medium,",,"LST,HST,Defoliation,",,11,1,,
3 Strains All Feminized,Waiska,Custom Breeder & Strain,"LED / 200W Custom,LED / 600W Custom,LED / 250W Custom,",,True,Manual,"Coco Coir Grow Medium,Soil Grow Medium,",,"Topping,Defoliation,",,12,2,,1000
Chemdawg Auto - Mars Hydro TS1000,Chemdawg Auto,Fast Buds,150 watt,"Bio Green,BioBizz,",True,Manual,,Glass Of Water,"Defoliation,",Custom,11,1,2.12,
Cream Cookies Auto - Mars Hydro TS1000,Cream Cookies Auto,Fast Buds,150 watt,"Bio Green,BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"Defoliation,",Custom,11,1,1.55,
Tiny Pot Contest (Seedsman) ~,Blue Dream,Seedsman,300 watt,"Fox Farm,",True,Manual,,Glass Of Water,"HST,Topping,LST,Defoliation,",,14,1,,0.42
CRITICAL KUSH CHRISTMAS CROP(late start),Critical Kush,Ganja Farmer Seeds,200 watt,"Hesi,",True,Manual,"Soil Grow Medium,",,"LST,Defoliation,",3.23,12,1,1.35,6.84
Rosie - BCN Critical XXL Auto,BCN Critical XXL Autoflower,Seedstockers,200 watt,"BioBizz,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"LST,",8.61,15,1,,8.47
StealthGrow 01 # like dream,Blue Dream Auto,Fast Buds,150 watt,"BioBizz,Advanced Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,"LST,Defoliation,",16.36,12,1,1.06,6
Scarlett,Skunk XL,Royal Queen Seeds,150 watt,"Advanced Nutrients,",True,Aeroponics,"Mineral Wool Grow Medium,",,"HST,Topping,FIMing,LST,ScrOG,Defoliation,",6.89,13,4,4.87,36.4
She went into reveg in flowering phase,Northern Light Automatic,Royal Queen Seeds,250 watt,"PLAGRON.,BioBizz,",True,Manual,"Soil Grow Medium,",,"Defoliation,LST,",8.61,15,,,2.12
Gorilla Family BSF,Gorilla Banana,BSF Seeds,730 watt,"Platinium Hydroponics,General Hydroponics (GHE),Grotek,Advanced Nutrients,Atami,",True,Manual,"Soil Grow Medium,",,"ScrOG,",3.77,18,2,1.33,13.05
FBT2212,FBT2212,Fast Buds,465 watt,"PLAGRON.,Advanced Nutrients,CannaBioGen,Canna,Green Planet Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Coco Coir Grow Medium,Humus de lombriz Grow Medium,",Paper Towel,"LST,Defoliation,",9.69,10,1,1.9,4.27
Pinkman goo,Pinkman Goo feminized seeds,Weedseedsexpress,,,True,,"Soil Grow Medium,Perlite Grow Medium,",,,,10,2,44,
Layer cake,Runtz x Layer Cake,Barney'S Farm,315 watt,"Advanced Nutrients,Guanokalong,",True,Manual,"Soi Grow Medium,",Peat Pellet,"Topping,",,14,10,,
Milkshake Kush Autoflower,Milkshake Kush Autoflower,Amsterdam Genetics,310 watt,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,",,"LST,Topping,Defoliation,",6.89,11,1,2.12,14.11
GELATO 2.0,Gelato By Weed Seed USA,Custom Breeder & Strain,300 watt,"Fox Farm,True Plant Science (TPS),General Hydroponics (GHE),Dr. Earth,Bloom City Organics,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Defoliation,LST,",,11,1,,1.2
Ztrawberry - GreenHouseSeed,Ztrawberry,Green House Seed Co.,300 watt,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,",Paper Towel,"LST,Topping,ScrOG,",10.76,12,5,,26.46
Jelly Breath S1,Jelly Breath S1,In House Genetics,310 watt,"Advanced Hydroponics of Holland,PLAGRON.,",True,Hydroponics,"Expanded Clay Grow Medium,",Glass Of Water,"LST,Topping,Main-Lining,",10.76,14,1,8.82,
The Pot #1 under UK Winter Sun,Alaskan Diesel Auto,Seedsman,14 watt,,True,Manual,"Used Biobizz AllMix Grow Medium,",Paper Towel,"HST,",3.23,11,1,,1.06
Mango Smile x Samsquatch OG - Mephisto,Mephisto Genetics - Mango Smile x,Custom Breeder & Strain,250 watt,"Fox Farm,General Hydroponics (GHE),Superthrive,",True,Manual,"FoxFarm Happy Frog Grow Medium,FoxFarm Forrest f Grow Medium,",Peat Pellet,"LST,Topping,Defoliation,",8,11,4,,29.98
Ganja Farmer Contest - Mandarine Auto,Mandarine Auto,Ganja Farmer Seeds,400 watt,"Dynomyco,Prescription Blend,Terpinator,Humboldts Secret,",True,Drip,"CoolGrows 2-In-1 GT 60x48x80,Soil Grow Medium,",Glass Of Water,"LST,",52.49,11,1,2.58,13.26
Sweet seeds Auto run,Dark Devil Auto®,Sweet Seeds,480 watt,"Advanced Nutrients,BioBizz,",True,Manual,"Plagron batmix Grow Medium,",Glass Of Water,"12-12 From Seed,",2.69,10,1,2.22,
"Woke Smoke, Super Glue, Load Cake",Woke Smoke,Green Point Seeds,,,True,Manual,,,,,10,,,
Mephisto Creme de la Chem Autoflowers,Creme de la Chem,Mephisto Genetics,300 watt,"Gaia Green,Maxicrop,Down To Earth,",True,Manual,"CoolGrows GT 48x24x72,Soil Grow Medium,",Directly In Substrate,"LST,Defoliation,",,11,2,3.26,
Outdoor Photoperiod Fall 22,Homegrown Cannabis Co Stinking Rich,Custom Breeder & Strain,,,True,Manual,"Soil Grow Medium,",,,,20,1,,
Forbidden Runtz,Forbidden Runtz Auto,Fast Buds,300 watt,"BioBizz,Dutchpro USA,Green Planet Nutrients,Advanced Nutrients,Terpinator,",True,Manual,"Biobizz lightmix Grow Medium,",Glass Of Water,"Topping,LST,Defoliation,",2.69,10,2,,25.04
Mint Jelly and purple haze in 2x2,Mint Jelly Autoflower,Humboldt Seed Company,220 watt,"Canna,Lotus Nutrients,Advanced Nutrients,",True,Hydroponics,"Hydro Grow Medium,",Other,"LST,Defoliation,",6.56,11,1,3.81,
Dos si dos 33 season 2,Dos Si Dos 33,Barney'S Farm,"LED / 240W QB288 240W LM301H Epistar 660nm,LED / 600W DS600,","General Hydroponics (GHE),Advanced Nutrients,",True,Hydroponics,,,"Topping,Defoliation,Main-Lining,HST,",,22,1,0.88,0.88
Gelato auto,Gelato Auto,Fast Buds,600 watt,"BioBizz,Dutchpro USA,Terpinator,",True,Manual,"Biobizz lightmix Grow Medium,",Glass Of Water,"Topping,LST,Defoliation,",5.38,10,2,,23.85
Amnesia Fast 1,Amnesia FAST,Seedsman,800 watt,"General Hydroponics (GHE),",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,4.31,11,1,2.01,5.11
MIMOSA CHERRY KUSH,Mimosa Cherry Kush,Dutchfem,"LED / 800W FC 8000,LED / 800W FC 8000,","General Hydroponics (GHE),",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,,FLOWERING,,,
Humboldt Sour Diesel HSC - Solo Cup,Humboldt Sour Diesel,Humboldt Seed Company,240 watt,"Plant Success (Plant Revolution),Botanicare,Fox Farm,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Peat Moss Grow Medium,Soil Grow Medium,Worm Castings Grow Medium,",Paper Towel,"Defoliation,",9.84,12,1,0.13,0.13
Sugarskull,Black Sugar,Seedsman,"LED / 100W XS1000,","Green Buzz Nutrients,",True,Manual,"Soil Grow Medium,",Glass Of Water,"Topping,Main-Lining,",4.63,11,2,,14.82
DYNOMYCO-Solocupchallenge,Black Sugar,Seedsman,"LED / 100W XS1000,","Green Buzz Nutrients,",True,Manual,"Soil Grow Medium,",Glass Of Water,"Topping,",4.63,11,1,,14.82
Royal Gorilla - RQS,Royal Gorilla,Royal Queen Seeds,200 watt,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,",Other,"Lollipopping,ScrOG,Defoliation,Topping,",6.89,17,4,7.41,7.41
Purple Punch auto 2,Purple Punch Auto,Barney'S Farm,600 watt,"Atami,Hesi,Top Crop,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"Flushing,ScrOG,LST,Defoliation,",3.88,14,2,3.63,
Afghan,Hight-supply,Custom Breeder & Strain,,"Advanced Nutrients,RQS Organic Nutrients,Aptus,Agrobeta,",True,Manual,,,"ScrOG,Defoliation,LST,Main-Lining,",,17,,,
AcapulcoGrow,Acapulco Gold,Barney'S Farm,300 watt,"Atami,BioBizz,Hesi,Advanced Nutrients,Terpinator,",True,Manual,"Soil Grow Medium,",Paper Towel,"Defoliation,Topping,LST,FIMing,ScrOG,",6.46,12,1,0.53,1.23
Frozen Peaches,Frozen Peaches,Custom Breeder & Strain,640 watt,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,",Paper Towel,"Topping,ScrOG,LST,Defoliation,",52.49,13,5,,
Grumpy Grow #2 Ethos Chem D Auto,Ethos Genetics Chem D Auto,Custom Breeder & Strain,80 watt,"Lotus Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,",,15,1,,6.46
Banzaïskull//nuka seeds//marshydro,Polaris,Nuka Seeds,480 watt,"RQS Organic Nutrients,Metrop,",True,Manual,"Soil Grow Medium,",,"12-12 From Seed,HST,Defoliation,",,11,,,
Glamorous Grapes (SQ1),Square One Genetics Glamorous Grapes,Custom Breeder & Strain,200 watt,"BuildASoil,Real Growers,Botanicare,Rootwise Soil Dynamics,",True,Manual,"Soil Grow Medium,",,"Topping,LST,Defoliation,",4.5,15,1,1.13,
Runtz Gum X Amnesia Lemon Haze,Cherry Diesel,Custom Breeder & Strain,,,True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Soil Grow Medium,",,"Topping,HST,LST,Defoliation,ScrOG,SoG,Main-Lining,",,23,1,3,2
Three breeder cut clones and experiments,Kush Mints,Purple City Genetics,300 watt,"Greenleaf Nutrients,Dr. Earth,",True,Drip,"Coco Coir Grow Medium,Soil Grow Medium,Perlite Grow Medium,",,"Topping,Main-Lining,HST,LST,Defoliation,ScrOG,",,15,,,
Cali Crasher,Cali Crasher,Doctor'S Choice,480 watt,"Dynomyco,Blue Planet Nutrients,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Grow stone Grow Medium,",Glass Of Water,"Lollipopped,HST,Defoliation,Topping,LST,",54,20,1,,22.93
GREEN CRACK AUTO-FLOWER.,Green Crack Auto,Seedsman,360 watt,"Advanced Nutrients,",True,Manual,"Biobizz Light Mix Potting Soil 50l Grow Medium,",Other,"HST,LST,24 hours a day since they were born!,Defoliation,",43.06,12,5,,12
5 wks into flower Mimosa x Orange Punch,Mimosa x Orange Punch,Barney'S Farm,250 watt,"Ecothrive,BioBizz,RQS Organic Nutrients,",True,Manual,"Expanded Clay Grow Medium,BioBizz light mix 60% Grow Medium,Worm castings 8 % Grow Medium,Ecotrive Biosys Grow Medium,Ecotrive Charge Grow Medium,",,"LST,Topping,Organic coco+soil+clay pebbles +bio bizz light mix,Defoliation,",,9,,,
Memphisto genes,Sour Stomper,Mephisto Genetics,"LED / 480W FC-E 4800,","Humboldts Secret,",True,Manual,"AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Topping,",,FLOWERING,,,
"Cookie gelato 5, sweet zz 1",Cookies Gelato,Royal Queen Seeds,300 watt,"BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,Topping,Defoliation,",10.76,14,1,,2.19
OG KUSH,OG Kush,White Label,450 watt,"Fox Farm,Plant Success (Plant Revolution),Down To Earth,BuildASoil,Humboldts Secret,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,"Main-Lining,Defoliation,LST,Topping,ScrOG,",16.4,22,1,,9
GMO Cookies,GMO Cookies,MSNL,"LED / 400W Custom,","Plant Success (Plant Revolution),BuildASoil,Fox Farm,Down To Earth,",True,Manual,,,"ScrOG,Topping,Defoliation,LST,",16.4,21,1,,5
Glukies BX,BlackFarm Genetix,Custom Breeder & Strain,"LED / 240W Custom,","FloraFlex,",True,Manual,"mafia one Grow Medium,",,"Defoliation,12-12 From Seed,Topping,Main-Lining,",,15,,,
GORILLA GLUE AUTO,Gorilla Glue Auto,Fast Buds,440 watt,"PLAGRON.,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Defoliation,",8.61,11,1,1.17,5.57
Blue Cheese Auto under TS1000 Mars Hydro,Blue Cheese Autoflowering,Dinafem,150 watt,"Atami,PLAGRON.,Hesi,Canna,Jungle indabox,",True,Manual,"Soil Grow Medium,",Glass Of Water,"ScrOG,LST,Defoliation,",2.15,13,1,1.27,3.35
Gorilla zkittlez,Barneys farm,Custom Breeder & Strain,600 watt,"Green House Feeding,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,ScrOG,",10.76,8,4,7.76,
Burkle and Mandarin cookie Aerogarden,Mandarin Cookies,ETHOS Genetics,30 watt,"General Hydroponics (GHE),Botanicare,",True,Aeroponics,"Coco Coir Grow Medium,",,"LST,",,12,1,,1
