diary_name,strain,strains_company,light_watt,nutrients,indoor,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
ARMAZI AUTO,Armazi Auto,Caucasian Seeds,300 watt,"General Hydroponics (GHE),",True,Manual,"Soil Grow Medium,",Glass Of Water,"Defoliation,LST,",5.38,9,1,5.64,22.5
Mimosa Cake auto,Mimosa Cake Auto,Fast Buds,650 watt,"Green Buzz Nutrients,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,",Paper Towel,,,8,,,
Cherry cola FB,Cherry Cola Auto,Fast Buds,300 watt,"BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Topping,Defoliation,LST,",,10,1,2.01,
CBD Crack 1:1 Auto,CBD Auto 1:1 (CBD Crack),Fast Buds,150 watt,"BioBizz,Canna,",True,Hydroponics,"Mineral Wool Grow Medium,",Rockwool Cube,"Defoliation,",10.76,11,1,,
Quick One Auto,Quick One,Royal Queen Seeds,200 watt,"PLAGRON.,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,",10.76,10,1,1.62,
Crystal Meth Auto - Fast Buds,Crystal METH,Fast Buds,300 watt,"Advanced Nutrients,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"LST,",,9,1,1.59,
West Coast O.G. Auto #2,West Coast O.G. Auto,Fast Buds,240 watt,"General Hydroponics (GHE),",True,Hydroponics,"Expanded Clay Grow Medium,",Paper Towel,"Defoliation,",5.38,12,1,8.99,8.99
First season with RDWC Hydroponic,Future #1®,Anesia Seeds,480 watt,"FloraFlex,Botanicare,Plant Success (Plant Revolution),Terpinator,Purpinator,",True,Hydroponics,"Other Grow Medium,",Paper Towel,"Defoliation,ScrOG,LST,FIMing,Topping,Main-Lining,",538.20,18,1,2.12,10.58
Inizio autofiorenti,Wedding Cheesecake Auto,Fast Buds,"LED / 300W LUMATEK Attis 300W,","PLAGRON.,Advanced Nutrients,Advanced Hydroponics of Holland,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Peat Pellet,"LST,Defoliation,",16.15,10,1,,
Sour Crinkle (Mephisto Genetics),Illuminauto №21 Sour Crinkle,Mephisto Genetics,310 watt,"Canna,",True,Manual,"Coco Coir Grow Medium,",Directly In Substrate,"LST,HST,",,15,1,,
