diary_name,strain,strains_company,light_watt,nutrients,indoor,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
Banana Mac Viparspectra,Banana MAC,Anesia Seeds,240 watt,"Canna,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,5.38,16,4,,9.17
L.A Peyote Kush Viparspectra,LA Peyote Kush,Seedsman,240 watt,"Canna,",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Other,,5.38,16,3,,5.29
Bubble banana gum,BubbleBananaGum,T.H.Seeds,,"BioBizz,",True,,"Other Grow Medium,",,"LST,",Custom,18,4,,8
RQS 45x45cm grow 2 plants,White Widow,Royal Queen Seeds,100 watt,"BioBizz,",True,Manual,"Soil Grow Medium,",Peat Pellet,"Topping,LST,",2.15,13,1,2.19,2.19
Smokes 24k,24k Gold Autoflowering,Dr. Seeds,300 watt,"Green Planet Nutrients,",True,Manual,"Soil Grow Medium,",,"12-12 From Seed,Defoliation,LST,",524.93,8,1,,
LEMON OG,Lemon OG,Twisted Tree Autoflowers,176 watt,"Fox Farm,",True,Manual,"Soil Grow Medium,",Paper Towel,"LST,",Custom,12,1,3.1,
UFO Genetics BKC,Blueberry Kush Cake,Custom Breeder & Strain,480 watt,"General Hydroponics (GHE),Element Nutrients,",True,Manual,"Soil Grow Medium,",,"ScrOG,Defoliation,",,9,1,,
Outdoor Summer Fun!,Strawberry Banana Auto,Fast Buds,,"Emerald Harvest,",True,,"Perlite Grow Medium,Mineral Wool Grow Medium,",Rockwool Cube,"HST,Defoliation,",,9,1,0.78,4.16
Critical LED,Critical,Royal Queen Seeds,310 watt,"BioBizz,",True,Manual,"Soil Grow Medium,",Glass Of Water,"Topping,LST,Defoliation,ScrOG,",10.76,15,4,,8.47
FASTBUDS BIG BUD AUTO,Big Bud Auto,Fast Buds,"LED / 100W Mars TS 600,","BioBizz,",True,Manual,"Soil Grow Medium,",,"LST,HST,Defoliation,",,9,1,,0.46
MARS FC 3000 Super lemon Haze,Super Lemon Haze,Green House Seed Co.,300 watt,"Terra Power,BioBizz,",True,Manual,"Biobizz Coco coir Grow Medium,biobizz light mix soil Grow Medium,Perlite Grow Medium,",,"Main-Lining,Topping,LST,Defoliation,",21.53,15,1,2.72,14.11
Forbidden runtz,Forbidden Runtz Auto,Fast Buds,,,True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,,,11,1,1.2,
Crystal Candy XL auto,Crystal Candy XL Auto,Sweet Seeds,310 watt,"Bio Tabs,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",Directly In Substrate,"LST,Defoliation,",,9,1,,7.05
DDoS #33 Первый опыт,DDoS #33,Herbies Seeds,150 watt,"PLAGRON.,BioBizz,",True,Manual,"Soil Grow Medium,",Other,,,16,1,,
MangoMatic &ZenMatic seeds by Zenfarm.it,mangomatic,Custom Breeder & Strain,550 watt,"Canna,B.A.C.,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,,24.22,11,4,,8.82
zamnesia White widow indoor/outdoor,White Widow,Zamnesia Seeds,140 watt,"Zamnesia,",True,Manual,,,"HST,Topping,LST,",592.01,17,1,,
Royal Runtz - Tenth Farm,Royal Runtz Automatic,Royal Queen Seeds,174 watt,"RQS Organic Nutrients,PLAGRON.,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"Defoliation,",7.75,10,1,1.76,
Sticky Beast #2 (AUTO) by Zamnesia,Sticky Beast Automatic,Zamnesia Seeds,150 watt,"BioBizz,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,",3.88,12,1,1.94,8.43
Triple G - Tenth Farm,Triple G Automatic,Royal Queen Seeds,174 watt,"RQS Organic Nutrients,PLAGRON.,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"Topping,Defoliation,",7.75,10,2,4.34,
Super Skunk 2,Super Skunk,Sensi Seeds,1000 watt,"Advanced Nutrients,",True,Manual,"Coco Coir Grow Medium,",,"Topping,Defoliation,LST,",,18,1,,
CBD Elixir auto,Elixir CBD AUTO,Canuk Seeds,,,True,Manual,"Soil Grow Medium,",Paper Towel,,,11,1,,2
22 Dutch Blue,Dutch Blue Automatic,Spliff Seeds,,"Grotek,Gaia Green,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Peat Grow Medium,Compost Grow Medium,",Glass Of Water,"FIMing,",,12,1,,3.88
22 Ganja Gelato,Ganja Gelato Auto,Ganja Farmer Seeds,,"Grotek,Gaia Green,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Peat Grow Medium,Compost Grow Medium,Humalite Grow Medium,",Glass Of Water,"FIMing,",,12,1,,3.35
sladka pralinka,Sweet ZZ Automatic,Royal Queen Seeds,,"BioBizz,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"LST,",,9,,,
LSD 25 Fast buds,LSD-25 Auto,Fast Buds,700 watt,"Foop Organic Biosciences,Real Growers,",True,Manual,"Soil Grow Medium,",Directly In Substrate,"LST,",104.99,10,1,,3.5
Runtz Auto,Runtz Auto,Linda Seeds,,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,",,,,9,1,1.02,6.88
McKennaii,McKennaii,Custom Breeder & Strain,,,True,Manual,"Other Grow Medium,",Other,,,3,2,0.66,9.35
Golden Teacher,Golden Teacher,Custom Breeder & Strain,,,True,Manual,"Other Grow Medium,",Other,,,3,2,0.65,8.77
Sweet Pure CBD Auto,Sweet Pure Auto CBD®,Sweet Seeds,250 watt,"BioBizz,",True,Manual,,Directly In Substrate,,,9,1,,3.03
gunmango auto contest mafieux 7eme,Auto Bubble Gum,Seeds Mafia,100 watt,"RQS Organic Nutrients,PLAGRON.,",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,ORGANIC nutriments R.Q.S Grow Medium,",Glass Of Water,"HST,Defoliation,",,11,,2.75,
"""ArtGrow""",Gorilla Cookies Auto,Fast Buds,300 watt,"General Hydroponics (GHE),",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"LST,",1.08,10,1,0.35,1.2
ORIGINAL line Critical,Critical Auto,Fast Buds,680 watt,"General Hydroponics (GHE),",True,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,2.15,10,1,1.73,5.11
